"en_es_DEEP"	"MatConf"
"En la década transcurrida desde el ataque de 2003 en Bagdad, las bajas de los trabajadores humanitarios se han triplicado, llegando a más de 100 muertes por año."	1
"Además, los menores no siempre están separados de los adultos y algunos presos todavía están sujetos a largos períodos de prisión preventiva, que a veces duran hasta 10 años."	1
"La Comisión ha determinado, además, que las víctimas y otros testigos han identificado a los atacantes de las tres categorías como Janjaweed."	1
"Las circunstancias de los asesinatos siguen sin estar claras."	1
"El Consejo destaca la necesidad de mejorar la coordinación transfronteriza y el intercambio de información entre estas misiones, así como entre todos los demás actores de la región, para anticipar mejor los movimientos del LRA y las amenazas inminentes de ataque."	0
"La situación en Guinea-Bissau (véanse S/1998/44/Add.44 y 51)"	0
"Los saqueos se llevaron a cabo principalmente contra tribus africanas y generalmente apuntaban a bienes necesarios para la supervivencia y el sustento de esas tribus."	1
"Sin embargo, las huelgas y bloqueos generalizados llevados a cabo por grupos políticos, partidos y grupos políticos, armados y desarmados, han perturbado la actividad humanitaria y el acceso a los servicios de salud y educación; Gran parte de esta perturbación ocurrió en el Terai."	1
"Dijo que el EIIL y todas las demás partes en el conflicto estaban matando e hiriendo a personas y destruyendo aldeas, pueblos y ciudades con impunidad."	1
"Iglesia de San Nicolás, Sredskë/Sredska, Prizren/Prizren"	0
"Durante los siguientes días, los somalíes locales subieron a bordo un arma, que estaba montada en la cubierta superior del Alpha Serengeti."	1
"Las limitaciones al acceso humanitario que tienen los efectos más graves sobre las personas que necesitan asistencia humanitaria incluyen restricciones al movimiento de trabajadores o bienes humanitarios (incluidos obstáculos físicos y burocráticos); ausencia de mecanismos acordados con las partes en conflicto para la prestación de asistencia durante las hostilidades; interferencia en la entrega de asistencia humanitaria, incluidas las demandas de pago; y violencia contra actores humanitarios, incluidos ataques físicos contra trabajadores humanitarios y convoyes."	1
"El grupo ha explotado la porosa frontera entre Nigeria y Camerún y ha secuestrado a ciudadanos extranjeros en Camerún."	1
"Durante el ataque se utilizaron dos helicópteros artillados y un avión Antonov, posiblemente con fines de reconocimiento."	1
"Dos civiles mueren, cuatro personas resultan heridas por arma de fuego y dos personas sufren otras heridas graves."	1
"La MPUE ha descentralizado sus funciones de enlace para mejorar la coordinación a nivel local, mientras que el trabajo preparatorio previo a la llegada de la EUFOR facilitó el proceso de transición."	0
"76. Continuaron los esfuerzos para reclutar a miembros de las comunidades minoritarias para el Cuerpo de Protección de Kosovo."	0
"La delegación cubana condena enérgicamente los ataques contra civiles palestinos, así como la destrucción general que provocan las fuerzas de ocupación israelíes en el norte de la Franja de Gaza. Asimismo, hacemos un llamado al cese inmediato de esos ataques y a la retirada urgente de las fuerzas de ocupación."	0
"Sin embargo, las tiendas han demostrado ser inadecuadas para las duras condiciones del este de Chad, particularmente durante la temporada de lluvias de junio a septiembre."	0
"Artículos 1 y 4, fracción II, de la Ley Federal contra la Delincuencia Organizada (adjunto)"	0
"El Panel de Expertos recomendó, entre otras cosas, el establecimiento de un mecanismo internacional independiente con funciones concurrentes para monitorear el proceso de rendición de cuentas nacional y realizar investigaciones independientes."	0
"334. Se han denunciado las siguientes tendencias: En primer lugar, durante los ataques a las aldeas se produjeron agresiones deliberadas contra mujeres y niñas, incluidas violaciones en grupo. En segundo lugar, mujeres y niñas fueron secuestradas, recluidas durante varios días y violadas repetidamente durante ese tiempo. En tercer lugar, las violaciones y otras formas de violencia sexual continuaron durante la huida y los desplazamientos posteriores, incluso cuando las mujeres abandonaron las ciudades y se dirigieron a los lugares de desplazados para recoger madera o agua."	1
"En cada situación se están restringiendo los derechos fundamentales, a la propiedad y al movimiento, y hay grandes posibilidades de que esto se deba a la continuación indebida de las medidas de sanciones del Consejo."	1
"Redadas, registros y arrestos sin orden judicial"	1
"Sin embargo, la información proporcionada por Shartai y Omdas que acompañaron a la Comisión Nacional, y las pruebas disponibles, indican que todas las partes fueron responsables, en las circunstancias del conflicto encarnizado, del incendio de las aldeas."	1
"Algunos de ellos son sospechosos de haber cometido varios delitos simultáneamente."	1
"22. Sobre la base del acuerdo concertado por el Primer Ministro y mi ex Representante Especial el 13 de mayo de 2009 (véase S/2009/504, párr. 20), que reitera los criterios mutuamente acordados para la reasunción de las responsabilidades policiales primarias por parte de la policía nacional , al 20 de septiembre, equipos conjuntos de evaluación integrados por representantes civiles y policiales del Gobierno y la UNMIT habían evaluado los 13 distritos y 6 unidades."	0
"483. Los comités rechazaron demasiados casos porque los interrogatorios de las víctimas revelaron que el delito denunciado no equivalía a violación, ya que no se había producido penetración, o porque los denunciantes habían confundido el término árabe para opresión con el término para violaciones y habían presentado por error denuncias de otras formas de abuso o violencia, como palizas."	0
"La decisión de expulsar a los trabajadores humanitarios y silenciar a otros mediante amenazas de expulsión, o los intentos de restringir la libertad de movimiento de la Operación Híbrida de la Unión Africana y las Naciones Unidas en Darfur (UNAMID) son parte de esta política para reducir la capacidad de vigilancia de la comunidad internacional. comunidad."	0
"Los sitios van desde los creados para promover a personas concretas, como Shamil Basayev en Chechenia, o grupos, como Lashkar-E-Tayyiba en el Pakistán, hasta aquellos que pretenden justificar el terrorismo relacionado con Al-Qaida en general, como Voice of Jihad, u ofrecer entrenamiento terrorista, como Al-Battar."	1
"Por primera vez desde el comienzo de la crisis en 2012, dos trabajadores humanitarios murieron el 29 de mayo en la región de Tombuctú cuando su coche chocó contra un artefacto explosivo improvisado controlado a distancia. Los vehículos de dos organizaciones no gubernamentales internacionales fueron secuestrados los días 8 y 9 de noviembre cerca de Ménaka (región de Gao)."	1
"a) El número de pasaporte o de documento de viaje de la persona incluida en la lista;"	0
"101. Desde noviembre de 2004, el Gobierno de Côte d'Ivoire ha tratado de reparar, mantener y reconstruir la FACI como una declaración política de que el poder aéreo proporciona al Gobierno una ventaja militar que las FN no tienen."	1
"7. Expresa su firme determinación de considerar la posibilidad de incluir en la lista, de conformidad con la resolución 2161 (2014), a personas, grupos, empresas y entidades asociadas con Al-Qaida que financien, armen, planifiquen o recluten para ellos, o apoyen de otro modo sus actos o actividades, incluidos a través de tecnologías de la información y las comunicaciones, tales como internet, redes sociales o cualquier otro medio;"	1
"36. Fuentes oficiales han informado de la muerte de al menos tres personas incluidas en Al-Qaida."	1
"Por lo tanto, el conflicto no se reduce simplemente a una situación de disturbios y tensiones internas, disturbios o actos de violencia aislados y esporádicos. Más bien, los requisitos de (a) existencia de grupos armados organizados que luchan contra las autoridades centrales, (b) control por parte de los rebeldes sobre parte del territorio y (c) combates prolongados, para que esta situación se considere un conflicto armado interno según el artículo 3 comunes a los Convenios de Ginebra."	1
"Queridos hermanos, Excelencias y Altezas,"	0
"Que se celebrará el lunes 29 de noviembre de 2010, a las 10.00 horas"	0
"En total, en las regiones de Gao, Mopti y Tombuctú, el 95 por ciento de los prefectos ejercen sus funciones, al igual que aproximadamente el 80 por ciento de los subprefectos."	0
"Los argumentos de la parte armenia son particularmente sorprendentes tal como se exponen en el Consejo de Seguridad, que, en 1993, adoptó una serie de cuatro resoluciones condenando el uso de la fuerza contra Azerbaiyán y la ocupación de sus territorios y exigiendo la inmediata, plena e incondicional retirada de las fuerzas de ocupación armenias de todos los territorios ocupados de Azerbaiyán (resoluciones 822 (1993), 853 (1993), 874 (1993) y 884 (1993))."	0
"Los militares dispararon morteros contra civiles desarmados."	1
"La ejecución de este proyecto comprenderá lo siguiente:"	0
"Posteriormente, siete años después, en la edición de 2009 se señaló además que aproximadamente el 30 por ciento de los jóvenes de los países árabes estaban desempleados, que más del 50 por ciento de la población tenía menos de 24 años y que era necesario crear 51 millones de nuevos puestos de trabajo. creado de aquí a 2020 para evitar un aumento de la tasa de desempleo."	0
"Agenda provisional para la 5750ª reunión del Consejo de Seguridad"	0
"Reglamento sobre el transporte por carretera de materiales peligrosos, 2001"	0
"295. Además, dado el carácter discriminatorio por motivos políticos del asesinato sistemático y generalizado de civiles, estos actos muy bien pueden constituir un crimen de persecución como crimen de lesa humanidad."	1
"Cuando se les pidió que proporcionaran más detalles, las víctimas informaron que los atacantes Janjaweed pertenecían a tribus árabes y, en la mayoría de los casos, atacaron a caballo o en camellos y estaban armados con armas automáticas de diversos tipos."	1
"Además, defensores de derechos humanos han denunciado casos de robo, violencia y saqueos perpetrados por las fuerzas de seguridad y la población civil contra los habitantes de estos barrios."	1
"3. Asesinato de militares enemigos detenidos"	1
"Aunque el Gobierno no ha fijado un precio de referencia, está negociando con los empresarios privados nacionales la compra de anacardos a un precio de 200 a 230 francos CFA el kilo."	0
"Una serie de cuantiosos pagos de rescates a Al-Qaida y sus afiliados en los últimos años han convertido el secuestro en una táctica fundamental de Al-Qaida."	1
"Bin Laden necesita equilibrar las acciones de Zarqawi y demostrar su continuo alcance global organizando ataques espectaculares en otros lugares, lo que le permitiría recuperar el camino estratégico que estableció antes de la pérdida de su base afgana en 2001."	1
"En septiembre se produjeron brechas por ambas partes, ataques y contraataques, venganzas y represalias."	1
"Subrayando que las mujeres vivían en condiciones deplorables sin acceso a servicios de salud y justicia, la Representante Especial consideró que será muy difícil abordar tal situación, dada, en particular, la cultura del silencio y la ausencia de instituciones para investigar y procesar ."	0
"El déficit del componente de policía de la Misión sigue siendo un importante motivo de preocupación y afecta la capacidad de la Misión para llevar a cabo las tareas que le han sido encomendadas."	1
"La Comisión también considera que las restricciones impuestas a la población de desplazados internos en los campamentos, en particular a las mujeres, aterrorizándolas mediante actos de violación o asesinatos o amenazas de violencia contra la vida o la persona por parte de los Janjaweed, equivalen a una privación grave de libertad física en violación de normas del derecho internacional."	1
"Además, se supo que la escena del crimen había sido perturbada en varias ocasiones."	1
"16. Decide seguir ocupándose del asunto."	0
"Durante el período comprendido entre el 20 de octubre y el 10 de diciembre de 2014, helicópteros del régimen lanzaron un total de 1.125 bombas de barril, matando a 603 civiles, entre ellos 129 niños y 112 mujeres."	1
"La Comisión verificó la presencia de dos fosas comunes en el pueblo: una con los cadáveres de dos hombres y otra con los cadáveres de siete hombres, todos ellos fallecidos durante el ataque."	1
"Sin embargo, era cada vez más evidente una actitud más constructiva hacia la UNMIK."	0
"a) si mediante el acto descrito en el apartado 1 anterior causa lesiones corporales graves a al menos dos personas o la muerte, o"	1
"Ministerio de Defensa – Pérdidas de arsenales de municiones"	0
"9. La situación en Somalia (17 de marzo de 1992; 4 de junio de 2014)."	0
"La mayoría de los conflictos actuales se libran principalmente con armas pequeñas y ligeras."	1
"Las medidas que ha adoptado para contrarrestar la insurgencia en Darfur han violado flagrantemente el derecho internacional."	1
"Un oficial muerto y otro gravemente herido."	1
"Se observó una mayor tensión entre la población local en respuesta a la recaudación ilegal de impuestos y la extorsión por parte de funcionarios abjasios de facto."	1
"3. La situación en Chipre (27 de diciembre de 1963; 29 de mayo de 2009)."	0
"Después del ataque, toda la población de la zona se dirigió a Kailek."	1
"Las F-FDTL mantuvieron algunos registros de las armas entregadas a los 206 civiles armados de esta manera."	1
"Un caso reciente notable fue el de Malí, donde el Consejo no actuó a petición del Secretario General de crear un grupo de expertos encargado de investigar la identidad y las actividades de quienes participan en la delincuencia transnacional y organizada en Malí y la subregión, con la posibilidad de de imponer sanciones punitivas y selectivas."	0
"115. El embargo actual podría tener más efectos sobre los talibanes si tuviera esto en cuenta y si se impidiera a todos los actores no estatales en el Afganistán comprar armas, con las exenciones necesarias para fines humanitarios y de otro tipo, según lo autorizado por el Gobierno del Afganistán o el Consejo de Seguridad."	1
"Cabe señalar que los dos movimientos no defendieron sus argumentos desde un punto de vista tribal, sino que hablaron en nombre de todos los habitantes de Darfur y dirigieron principalmente sus ataques contra instalaciones gubernamentales."	1
"Vicepresidentes: Costa Rica y Vietnam"	0
"Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,"	0
"Dinamarca y República Unida de Tanzania"	0
"En ese caso, se plantea el problema de si los participantes en el grupo distintos de aquel que cometió el delito, que no había sido planeado o previsto previamente, también tienen responsabilidad penal por ese delito."	1
"Según informes, el ejército nacional mantiene actualmente el bosque bajo vigilancia."	1
"Convención sobre la Protección Física de los Materiales Nucleares;"	0
"Otro desafío relacionado con las elecciones es el número significativo de votantes potenciales que no pueden afrontar los costos administrativos relacionados con la adquisición de un documento nacional de identidad."	0
"Lo que distingue esta categoría de crímenes de la de crímenes de guerra es que no se refiere a violaciones aisladas o esporádicas, sino más bien a violaciones que (a) pueden ocurrir en tiempo de paz o en tiempo de conflicto armado, y (b) constituyen parte de una práctica generalizada o sistemática de atrocidades (o ataques) cometidas contra la población civil."	1
"En este sentido, es particularmente importante que comiencen a sensibilizar a sus poblaciones sobre el proceso de demarcación y sus implicaciones."	0
"62. Se recomienda una mayor participación de las Naciones Unidas para abordar las causas profundas del conflicto, incluso apoyando iniciativas de gestión de recursos naturales y mecanismos de prevención y resolución de conflictos."	0
"Aquí en el Consejo de Seguridad, tres casos en particular exigen hoy nuestra atención."	0
"Mientras tanto, múltiples afiliados de Al-Qaida están evolucionando, a menudo de forma autónoma, con cambios generacionales, geográficos, étnicos, estructurales y operativos evidentes."	1
"La MINUSMA también identificó a 32 supervivientes de violencia sexual relacionada con el conflicto en la región de Tombuctú y los remitió a organizaciones no gubernamentales dispuestas a ayudarles a presentar sus casos ante el sistema de justicia."	1
"El Comité Nacional recomendó que se establecieran comités de investigación judicial que se ocuparan de las siguientes denuncias: ejecuciones extrajudiciales; la captura por grupos árabes de dos aldeas de la tribu Fur en la localidad de Kas; e incidentes en los que se mató y quemó a algunos de los heridos en hospitales de las aldeas de Buram, Meleit y Kelebs."	1
"También hace hincapié en la prohibición y el bloqueo de sitios de Internet que contengan materiales extremistas y en la regulación de los problemas en este ámbito."	1
"El posible aumento durante 2013 de la disponibilidad de sistemas portátiles de defensa aérea para los afiliados de Al-Qaida en África, y como resultado del conflicto en la República Árabe Siria, podría representar una amenaza futura."	1
"Prestación de apoyo a las instituciones del Estado"	0
"57. Las pruebas demuestran que, además del civil asesinado en Rai Kotu, otros dos civiles murieron durante la noche."	1
"28. Según se informa, el Sr. Hassan fue recibido con entusiasmo a su regreso a Mogadishu desde Nairobi el 30 de julio."	0
"8. El Consejo estará especialmente atento a aquellos que puedan intentar obstruir el proceso de transición, en particular aquellos que puedan actuar violando el embargo de armas en la República Democrática del Congo o negarse a participar en los procesos de desarme, desmovilización y la reintegración o desarme, la desmovilización, la reintegración y la repatriación o reasentamiento y la integración de las fuerzas armadas de la República Democrática del Congo."	0
"b) Suministro de dispositivos médicos para hospitales en Misrata, Bengasi y las montañas occidentales, del 1 al 7 de abril de 2011, a un costo de 54.795 dólares"	0
"Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,"	0
"88. A pesar de los informes sobre cruces fronterizos ilícitos, se han logrado avances notables en la lucha contra los viajes de los terroristas incluidos en las listas y sus asociados."	1
"Dijo que nadie sabía quién había atacado el helicóptero ya que el incidente ocurrió cerca de Bentiu, donde los grupos armados están muy cerca unos de otros."	1
"Los agentes de la UIR oriental amenazaron con cargar el cuerpo del fallecido por las calles de Dili antes de llevarlo a la casa del comandante general Martin."	0
"Los Estados de Asia Central se enfrentan así a una grave amenaza terrorista transnacional que requiere respuestas regionales concertadas y coordinadas."	1
"Uso terrorista de Internet para instrucción sobre explosivos"	1
"Las armas fueron confiscadas por el oficial de armas del buque estadounidense y posteriormente entregadas a las autoridades yemeníes."	1
"En resumen, la Comisión ha recopilado material y testimonios muy importantes que tienden a confirmar, en el contexto de los ataques a las aldeas, la matanza de miles de civiles."	1
"Tomando nota de la solicitud del Gobierno del Afganistán de que el Consejo de Seguridad apoye la reconciliación nacional, incluso eliminando nombres de las listas de sanciones de las Naciones Unidas para quienes se reconcilien y, por lo tanto, hayan dejado de participar o apoyar actividades que amenazan la paz, la estabilidad y seguridad de Afganistán,"	0
"En 2012 se informó de un total de 1.283 secuestros motivados por el terrorismo, y un solo rehén podría entregar un rescate de siete cifras en manos de terroristas."	1
"Todas las delegaciones coincidieron en que la principal amenaza en la región proviene de Jemaah Islamiyah (QE.J.92.02.), el Grupo Abu Sayyaf (QE.A.1.01.) y un grupo más reciente, el Movimiento Rajah Solaiman (no incluido en la Lista), que trabaja en estrecho acuerdo con el Grupo Abu Sayyaf*."	0
"No han sido acusados ​​oficialmente."	0
"En la región de Hiraan, en Somalia central, los intensos combates que tuvieron lugar los días 7 y 8 de junio entre los subclanes Galje'el y Jajele de Hawiye por la tierra y el agua en el lado occidental de Beletweyne provocaron la muerte de 36 personas y heridas a 70. gente."	1
"(a) garantizar la más amplia difusión posible de información sobre el derecho internacional humanitario, los derechos humanos y el derecho de los refugiados;"	0
"Las demandas de UNMIK y KFOR de datos sobre la presencia del ANA dentro del KPC encontraron una respuesta muy característica del comandante del Cuerpo, quien dijo que, bajo sus limitados poderes, no podía ofrecer más información."	0
"89. Hay casos de desapariciones en todos los bandos del conflicto, pero se desconocen las cifras."	1
"Informe del Secretario General sobre la situación en Abyei"	0
"Confirmó que un helicóptero ruso había sido derribado y que una junta de investigación de las Naciones Unidas, que había estado en el país la semana anterior, presentaría un informe a principios de noviembre."	1
"Al comienzo del conflicto, la mayor parte de los combates parecen haber tenido lugar en Darfur septentrional y en el norte de Darfur occidental, mientras que gradualmente se trasladaron hacia el sur, hacia Darfur meridional, durante los últimos meses de 2004."	1
"96. El Equipo de Vigilancia ha examinado la aplicación del embargo de armas con referencia a los métodos utilizados por Al-Qaida y los talibanes al organizar sus ataques."	0
"El régimen ahora debe prestar atención a estos llamamientos."	0
"Al mismo tiempo, ha habido un resurgimiento de la amenaza de los talibanes."	1
"Sin embargo, había policías reclutados, lo más lejos posible de Addis Abeba, por no hablar de Roma o La Haya, que habían oído hablar de la CPI y estaban preocupados por su responsabilidad penal ante ella."	0
"Otro celebró un seminario internacional en 2009 sobre el fortalecimiento de la cooperación y el diálogo en la lucha contra el terrorismo entre los organismos gubernamentales, los medios de comunicación y la sociedad civil."	0
"Situación del Gobierno Federal de Transición y la oposición: fortalecimiento militar"	1
"Añadió que la OSCE aún no había observado la retirada de armamento pesado de la línea de control."	1
"Según su declaración, se encontraba en su oficina cuando fue alertado de la explosión."	1
"La última información disponible indica que 35 desplazados internos murieron y 10 resultaron heridos en la violencia, y más de 4.000 desplazados internos y aldeanos se vieron obligados a huir."	1
"Angola (Consejero Candido Pereira dos Santos Van-Dunem)"	0
"Asimismo, en el anexo 10 (Registro de sectores específicos) de las Reglas Generales de Comercio Exterior para 2005, publicadas en el Diario Oficial el 8 de agosto de 2005, se enumeran las fracciones arancelarias específicas antes mencionadas."	0
"1. Decide que todos los Estados adoptarán las siguientes medidas con respecto a las personas y entidades designadas antes de esta fecha como talibanes, y otras personas, grupos, empresas y entidades asociadas con ellos, según se especifica en la sección A (\"Personas asociadas con los talibanes\") y la sección B (\"Entidades y otros grupos y empresas asociados con los talibanes\") de la Lista consolidada del Comité establecido en virtud de las resoluciones 1267 (1999) y 1333 (2000) en la fecha de aprobación de la presente resolución, así como otras personas, grupos, empresas y entidades asociadas con los talibanes que constituyan una amenaza para la paz, la estabilidad y la seguridad del Afganistán, según se designa por el Comité establecido en el párrafo 30 (en adelante denominada \"la Lista\"):"	0
"(b) proporcionar capacitación a funcionarios públicos, miembros de fuerzas armadas y grupos armados, personal asociado a las fuerzas armadas, policía civil y personal encargado de hacer cumplir la ley, y miembros de las profesiones judicial y jurídica; y crear conciencia entre la sociedad civil y la población civil sobre el derecho internacional humanitario, de derechos humanos y de refugiados, así como sobre la protección, las necesidades especiales y los derechos humanos de las mujeres y los niños en situaciones de conflicto, para lograr su cumplimiento pleno y efectivo;"	0
"Las atrocidades indescriptibles que se están cometiendo contra los reclusos de los campos de prisioneros políticos de kwanliso se parecen a los horrores de los campos que los Estados totalitarios establecieron durante el siglo XX."	1
"El Estatuto de Roma, adoptado ese mismo año, representó un tremendo paso adelante al incorporar, por primera vez y explícitamente en un marco jurídico internacional, la violencia sexual como la violación, la esclavitud sexual, la prostitución forzada y el embarazo forzado. Lo hizo de una manera que hace que su procesamiento sea una posibilidad práctica."	0
"Uno o dos Estados han mostrado preocupación de que al congelar los activos de una OSFL incluida en la lista, no podrían financiar proyectos bajo su control, como orfanatos, hospitales o centros de refugiados."	1
"De hecho, los ataques en la mayoría de los casos estuvieron dirigidos intencionalmente contra civiles y bienes de carácter civil."	1
"Según otro participante, servir en el Consejo fue una experiencia de vida única y vívida que alteró la forma en que uno veía el mundo."	0
"Utilizar equipos multifuncionales a nivel nacional para trabajar con comunidades de refugiados para identificar la protección contra la violencia de género y las preocupaciones de los programas; generar iniciativas de sensibilización propiedad de los refugiados; apoyar proyectos piloto para abordar la violencia de género, incluidos proyectos dirigidos a hombres y niños; distribuir e implementar directrices sobre violencia sexual y de género contra refugiados, repatriados y desplazados internos."	0
"Aunque en la mayoría de los incidentes las fuerzas gubernamentales tal vez no hayan participado en la destrucción, su complicidad en los ataques durante los cuales se llevó a cabo la destrucción y su presencia en el lugar de la destrucción son suficientes para hacerlas corresponsables de la destrucción."	1
"En la práctica, la mayoría de las transferencias de ese tipo de armas a Côte d'Ivoire no fueron declaradas."	1
"13. Decide seguir ocupándose del asunto."	0
"El continuo flujo de combatientes no sirios hacia Jabhat-al-Nusrah es motivo de preocupación, compartido por una serie de autoridades nacionales que han estado siguiendo este problema."	1
"Observamos que los esfuerzos para reformar el gobierno local han enfrentado retrasos."	0
"Aunque todavía tengo que recibir respuestas formales de los 36 Estados Miembros restantes, en mi opinión es poco probable que se materialicen promesas de tropas suficientes para permitir el despliegue de una fuerza multinacional."	1
"Además, el modo y el patrón de los vuelos aéreos que precedieron a los ataques no pueden interpretarse en modo alguno como señales de advertencia, ya que claramente formaban parte del ataque."	1
"Es necesario emplear medios tecnológicos adicionales para permitir el intercambio de información operativa en tiempo real."	0
"12. Las partes se han acercado a la convergencia en las cuestiones centrales del capítulo económico."	0
"Deben desarrollarse capacidades adecuadas en áreas clave de la gestión civil de crisis, como la policía, la justicia y el estado de derecho, la preparación de procesos electorales y la observación electoral, la protección civil y la administración pública."	0
"Sr. Youseif Fahed Ahmed Alserhan, Jordania (marítimo);"	0
"En las regiones centrales, los conflictos no resueltos también siguen afectando los medios de vida y retrasando la recuperación."	1
"34. El Sr. Abed-Diam dio el siguiente relato:"	0
"A continuación inspeccionó el quirófano de radiación gamma y observó el aparato y sus usos."	0
"Si bien algunos informes han señalado algunos incidentes de destrucción de aldeas y propiedades privadas cometidos por los grupos rebeldes, la mayoría de los informes contienen relatos de testigos que indican que la mayoría de las aldeas fueron destruidas durante los ataques de los Janjaweed, a menudo bajo la dirección y la participación de el apoyo de las fuerzas armadas del Gobierno del Sudán."	1
"94. A pesar de los recientes avances, las limitaciones logísticas, políticas y de seguridad harán extremadamente difícil la desmovilización y reintegración previstas de 180.000 excombatientes para el final del período del Acuerdo General de Paz."	1
"Una operación similar llevada a cabo en Pristina el 18 de noviembre dio lugar a la detención de seis personas."	1
"92. En la terminal de carga, la Aduana utiliza dos escáneres para el despacho de carga comercial, complementados con una búsqueda manual."	0
"Instamos a Israel a que detenga sus ataques militares en Gaza."	0
"Estos grupos armados participan en actividades delictivas, incluida la explotación ilícita de recursos naturales, el tráfico de armas y municiones, el contrabando y los impuestos ilegales."	1
"o) Cooperar estrechamente con los órganos pertinentes de las Naciones Unidas contra el terrorismo para proporcionar información sobre las medidas adoptadas por los Estados Miembros respecto del secuestro y la toma de rehenes para pedir rescate por Al-Qaida y otras personas, grupos, empresas y entidades asociadas con ella, y sobre tendencias y novedades relevantes en esta área;"	0
"Se siguen recibiendo informes de diversas organizaciones de derechos humanos sobre graves violaciones de los derechos humanos e infracciones del derecho internacional humanitario, incluidas detenciones arbitrarias, asesinatos, trata de niños y violaciones en todo el país, tanto en las zonas controladas por las Forces Nouvelles como por el Gobierno."	1
"Si bien la situación de cada refugiado y desplazado interno es única, el desplazamiento y la apatridia exacerban las desigualdades de género existentes, amplificando la discriminación y las dificultades que enfrentan las mujeres y las niñas."	1
"27. Con el inicio de las lluvias ha habido una disminución general de la violencia entre tribus, en particular los robos de ganado y los conflictos por el agua y las zonas de pastoreo."	1
"14. Informe de la Relatora Especial de la Comisión de Derechos Humanos sobre ejecuciones extrajudiciales, sumarias o arbitrarias sobre su misión al Sudán (E/CN.4/2005/7/Add.2)"	1
"8. Estación de llenado y evacuación giroscópica;"	0
"50. La situación en Libia (22 de febrero de 2011; 16 de diciembre de 2013)."	0
"La desinformación agravó la discriminación y la estigmatización basadas en la identidad y desencadenó violencia entre las comunidades y dentro de ellas."	1
"Se celebrará el martes 31 de mayo de 2005, a las 15.50 horas."	0
"Durante esos tres días, cuatro de las niñas presuntamente fueron violadas y una sufrió abuso sexual."	1
"Especialmente importante es el proyecto de ley de protección de datos personales, que se encuentra en trámite parlamentario."	0
"(i) verificar la identidad de todas las personas que buscan ingresar al puerto;"	0
"En uno de los incidentes, en la aldea de Korcha-Turgu, temprano en la mañana, en algún momento de agosto de 2003, cientos de árabes Janjaweed atacaron la aldea. Llevaban uniformes militares verdes y montaban a caballo y en camello. Rodearon el pueblo y empezaron a disparar contra hombres y niños."	1
"Permítanme hablar un poco sobre las propuestas específicas del plan organizacional revisado y cómo abordan esas preocupaciones."	0
"33. El 16 de septiembre, la MINUSMA y el UNICEF examinaron a elementos armados del MAA (Coordinación) y del MNLA estacionados en Ber (región de Tombuctú) e identificaron a cinco niños de entre 15 y 17 años y dos adultos jóvenes que probablemente fueron reclutados cuando aún eran menores."	1
"Sin embargo, en Puerto Príncipe, un marcado aumento de la violencia y la criminalidad, incluidos los secuestros, generó una grave ansiedad pública en mayo y junio."	1
"53. Las Naciones Unidas han comenzado a planificar una reunión técnica sobre el desarrollo de capacidades en el Sudán meridional a fin de coordinar su enfoque."	0
"56. La situación en Libia (22 de febrero de 2011; 12 de septiembre de 2012)."	0
"En ese momento, los reclutas quedan bajo el mando del ejército regular y normalmente visten el mismo uniforme que la unidad con la que luchan."	1
"1. Deplora y condena en los términos más enérgicos los actos terroristas del EIIL y su violenta ideología extremista, así como sus continuos abusos flagrantes, sistemáticos y generalizados de los derechos humanos y violaciones del derecho internacional humanitario;"	0
"5. El Consejo de Seguridad prorrogó la suspensión parcial del embargo de armas para el desarrollo de las fuerzas de seguridad del Gobierno Federal de Somalia en dos ocasiones: en la resolución 2142 (2014), por un período de seis meses, y en la resolución 2182 (2014). ), hasta el 30 de octubre de 2015."	1
"El Grupo comenzó su examen de la decimoctava serie en enero de 2003."	0
"Uganda valora la paz y cree que la inestabilidad actual en la región de los Grandes Lagos desincentiva el desarrollo."	0
"El crimen organizado y la corrupción han sido caracterizados como las mayores amenazas a la estabilidad de Kosovo y la sostenibilidad de sus instituciones."	1
"El Consejo de Seguridad solicita al Secretario General que presente a más tardar en junio de 2004 su próximo informe sobre la protección de los civiles en los conflictos armados, incluida información sobre la aplicación de las resoluciones del Consejo de Seguridad adoptadas anteriormente sobre este tema y cualquier otro asunto que desee señalar a la atención. del Consejo."	0
"Hasta el momento, las partes no han otorgado el consentimiento formal."	0
"Se comparte constantemente información sobre las operaciones marroquíes de remoción de minas con el Centro de Coordinación de Actividades relativas a las Minas."	0
"Además, los talibanes han mantenido su capacidad de importar armas, material y mano de obra, y la clave del éxito militar reside en neutralizar sus líneas de suministro y negarles zonas seguras donde sus combatientes puedan recuperarse entre operaciones y entrenar nuevos reclutas."	1
"Se buscan estas armas porque son compactas y ofrecen a los terroristas la capacidad de atacar de forma segura desde lejos y causar daños significativos."	1
"En su 6881ª sesión, celebrada el 7 de diciembre de 2012, el Consejo examinó el tema titulado \"Reuniones informativas de los Presidentes de los órganos subsidiarios del Consejo de Seguridad\"."	0
"Misión del Consejo de Seguridad (18 de junio de 2003; 19 de agosto de 2014)"	0
