"es_en_TRANSOFMERS"	"MatCoop"
"In addition, MONUSCO launched Operation Eastern Shield in the Doruma area from 23 to 27 April after two LRA attacks were reported in that area."	0
"We have considered that this process should be conducted in a manner that allows all Afghans equally to participate in the elections, while taking into account the security challenges we face."	0
"During the reporting period, MINUSMA aviation assets were temporarily deployed to Kidal to conduct reconnaissance and monitoring of the movements of armed groups, in particular in the Tilemsi Valley (Gao region)."	1
"(a) Necessary to cover basic expenses, including the payment of food, rent or mortgage, medicines and medical treatment, taxes, insurance premiums and water and electricity costs, or exclusively to pay reasonable professional fees and reimbursement of expenses associated with the provision of legal services or fees or charges for maintenance services of frozen funds or other financial assets or economic resources, following notification by the State concerned to the Committee established pursuant to resolution 1267 (1999) (hereinafter referred to as âthe Committeeâ) of the intention to authorize, where appropriate, access to such funds, assets or resources and in the absence of a negative decision by the Committee within 48 hours of such notification;"	1
"Meanwhile, resources are being mobilized with the support of UNOCI, UNICEF and the World Food Programme to rehabilitate and reintegrate 511 child soldiers, including 204 girls, released and handed over to UNICEF by Forces nouvelles leaders."	1
"To be held on Wednesday, 4 February 2004, at 11.15 a.m."	0
"The Commission found that an administrative investigation was being conducted by a committee established by the Wali of Southern Darfur, in view of the seriousness of the charge and its consequences, which made it imperative to expedite action;"	1
"Belarus, the Russian Federation and Ukraine had established fully operational financial information units; in 2010, Belarus and Ukraine had adopted amendments to their laws on money-laundering and combating the financing of terrorism with regard to the identification and due diligence of clients, the establishment of registers, the determination of real ownership and suspicious transactions."	1
"It continued to participate in the working groups on crime prevention and to assist in the establishment of a women's police association in the region, while UNOMIG provided Zugdidi police agencies with equipment donated by the Government of Switzerland, while reserving a similar amount for Gali police agencies."	1
"The Committee will continue to apply a more strategic and transparent approach to its work and will seek to increase awareness of its work throughout the United Nations system and among individuals and entities engaged in the fight against terrorism."	1
"Group II: Group II, consisting of four inspectors, left the Canal Hotel in Baghdad at 8.30 a.m. and arrived at 5 p.m. at the Public Company for Petrochemical Industries under the Ministry of Industry and Mining in the Az-Zubayr area of Basra province."	0
"We must avoid giving easy answers and affirm that the Sahel has always faced such challenges, when, in fact, it is well known that before the challenges were not of that magnitude."	0
"Mr. Eide: I do not think that I have any questions, but I would like to make a few comments."	0
"Everyone needs to reject extremist voices who prefer to keep things as before and who believe that it is impossible for Serbs and Albanians to normalize their relations by reaching a historic compromise."	0
"In addition, the General Trade Rules for 2005, published in the DOF on 8 August 2005, set out in Annex 10 the Sectoral Register for specific tariff fractions."	0
"For the 2009/10 financial year, the Government expects income of $23 million (see table 7)."	0
"The Committee continued to cooperate with the International Criminal Police Organization (INTERPOL), including through special notices from INTERPOL and the Security Council to communicate to national sanctions enforcement authorities the names of individuals or entities subject to measures imposed by the Council (see paras. 32 and 34)."	1
"The Team believes that, depending on the circumstances, there are different measures that may be effective in preventing the abuse of the assets of a suspicious (but not listed) entity, including: removing alleged criminals or those on the consolidated list of checkpoints or influence; prohibiting the transfer, sale or disposal of their rights; and prohibiting entities from making any transfer of assets to such persons, whether as owners or directors."	1
"Judgement is expected in December 2010."	0
"In my capacity as representative of the Chairman-in-Office of the African Union, I have the honour to transmit herewith the communiquÃ© concerning CÃ´te d'Ivoire, issued by the Peace and Security Council of the African Union at its fortieth meeting, held at the level of Heads of State and Government, in Addis Ababa, on 6 October 2005."	1
"The Monitoring Team stands ready to conduct a detailed study of the matter."	0
"The United Nations Development Group works with the Executive Committees to advance the overall goal of peacebuilding and formulates policies, guidelines and procedures to improve the work of the United Nations country team network."	1
"The intention to restrict their movement is not and will not be a definitive solution to the problem."	0
"The MINUSTAH integrated headquarters was fully established on 27 June."	1
"Since my report to the Security Council of 2 January 2008 (S/2008/1), UNOCI has eliminated 15 of the 17 observation posts it had established along the green line, as stipulated by the Ouagadougou Agreement."	1
"85. The armed forces are also composed of an operational unit called the Border Intelligence Service, whose primary function is to gather information."	1
"71. The situation in Georgia (8 October 1992; 15 June 2009)."	0
"Although the Comprehensive Peace Agreement and the Agreement on Monitoring the Management of Arms and Armies contained provisions for the disbandment of the militia linked to the Maoist army, none of them proposed detailed plans in this regard."	1
"They will also lay the foundation for an effective firearms control mechanism to assist the authorities in controlling the possession of weapons."	1
"Case analysis: Benevolence International Foundation"	0
"Access to the Abyei Area will be severely obstructed during the next rainy season, as both routes from Wan to Abyei and from Kadugli to Abyei are routinely closed due to heavy seasonal rains."	0
"It is not yet known whether this indicates a decrease in regional influence on power or a simple change in leadership."	0
"My 8-year-old sister was also with me and she was also raped, but she was not beaten."	0
"Australia, Denmark, France, the Netherlands, New Zealand, Norway, the United Kingdom and the United States have dependent or overseas regions and territories, each with different levels of autonomy and different capacities to establish its own counter-terrorism regulatory framework."	1
"Furthermore, article 75 (3) provides that the Court shall, before making a reparation decision, take into account the observations made by the convicted person, victims, other persons or States having an interest, or those made on his behalf."	1
"After the arms collection process began, six other United Nations vehicles carrying UNPOL officers, including Mr. Malik, arrived."	1
"Most States have adopted appropriate provisions on mutual legal assistance and extradition, and all have established procedures for the exchange of information."	1
"The Government of the Central African Republic has repeatedly expressed a strong preference for direct assistance to build the capacity of its national forces and has established contacts with a number of potential bilateral partners."	1
"This is expected to facilitate distribution."	0
"At the same time, we are concerned by the observation in the report that the work on the demarcation of the land border between Timor-Leste and Indonesia is not proceeding expeditiously."	0
"The advantage of the Team is the ability to work with Governments around the world and to contact external specialists, to conduct an integrated assessment of the threat posed by Al-Qaida and its related groups, and to promote an effective and fair targeted sanctions regime."	1
"Three States have established effective legal frameworks to ensure mutual legal assistance and extradition, as well as appropriate mechanisms for the timely and effective exchange of information with international counterparts."	1
"27. Decides that when the designating State submits a request for deletion, the obligation of States to take the measures described in paragraph 1 of this resolution shall be terminated with respect to the person, group, undertaking or entity concerned after 60 days, unless the Committee decides by consensus, before the end of that 60-day period, that the measures shall remain in force with respect to that person, group, undertaking or entity, on the understanding that, in cases where there is no consensus, the Chairman, at the request of a member of the Committee, shall submit the question of whether the name of that person, group, undertaking or entity should be removed from the List to the Security Council for a decision within 60 days, and it shall also be understood that, if such a request exists, the obligation for States to take the measures described in paragraph 1 of this resolution shall be retained during that period in relation to that person, group, undertaking or entity until a decision is taken by the Security Council on the matter;"	1
"Less than half of the 140 States that submitted reports pursuant to resolution 1455 (2003) mentioned what measures they had taken to restrict or regulate the movement of precious goods, and those that did generally referred only to controls under customs and tax legislation."	1
"The reason for this was the need to ensure that the action of the Security Council against Al-Qaida and the Taliban remained adequate to address the threat they posed, as well as to specify sufficiently clearly the targets of sanctions so that Member States could take the necessary action against them."	0
"Meanwhile, a multitude of Al-Qaida-affiliated entities are emerging, often autonomously, showing obvious changes of a generational, geographical, ethnic, structural and operational nature."	0
"3. Decides also that all States shall take and enforce effective measures to establish national controls to prevent the proliferation of nuclear, chemical or biological weapons and their means of delivery, including by establishing appropriate controls over related materials, and to this end should:"	1
"They are distributed as follows: (i) current expenditure totalling CFAF 20,351 million; (ii) capital expenditure to CFAF 921 million; (iii) debt payment to CFAF 11,266 million; (iv) delays totalling CFAF 24,375 million; and (v) treasury operations totalling CFAF 436 million;"	0
"As a result of these operations, arms trade networks have been forced to act more cautiously by sending arms from Yemen to Somalia through the Gulf of Aden."	1
"Transfers (to)/from the United Nations and other agencies"	0
"The Council also calls upon the United Nations and the African Union to jointly investigate LRA logistics networks and their potential sources of illicit financing, including their alleged involvement in elephant poaching and related smuggling activities."	1
"The Technical Assistance Programme for International Criminal Investigations and the CARDS programme of the European Commission have agreed to train local police trainers so that they can in turn train both specialists and senior managers."	1
"(a) The head of the branch in the Office for Disarmament Affairs conducts a substantive review of the project to verify its coherence;"	1
"All States of the subregion have enacted legislation to control the manufacture, possession, acquisition, sale, transfer, transport and supply of small arms and ammunition, but these laws do not contain clear provisions on brokering in arms, arms transit or embargoes imposed by the Security Council."	1
"As I said before, none of the options is perfect."	0
"The programme will not apply to persons considered to be international criminals or terrorists, such as members of Al-Qaida."	0
"These considerations do not apply in the case of Petrolube."	0
"Establishment of a gender and development unit at Headquarters and a network of gender focal points at the national and regional levels."	1
"Three States have adopted procedures to prohibit the extradition of persons to States where they run the risk of being subjected to torture or persecution."	1
"Integrating gender perspectives in the formulation and conduct of post-conflict environmental assessments."	1
"Ammunition depots and logistics and maintenance bases were opened for inspection."	0
"Therefore, with the support of the international community and the parties to the conflict, the ceasefire agreement can be implemented seriously."	0
"The Committee also conducts periodic reviews of the names of persons reported to have died, and entities reported to have died."	1
"Together, we will work so that one day the Iraqi forces can fully assume responsibility for the maintenance of security and stability in Iraq."	1
"Seven have established in their domestic legislation their jurisdiction over the relevant offences, five have taken some measures to that end, and for nine States insufficient information is available on the matter."	1
"However, how can this be achieved when contempt continues in relation to the Accords and the rule of law, when our territory remains occupied by force and our people continue to be displaced from their villages and villages? Certainly, how can any possible arrangement of mutual benefit and normalization be concluded when sovereign territories are not respected or demarcated?"	0
"The recently established Mine Action Coordination Centre seeks to improve mine-pollution information and response, to enhance the safety and security of United Nations personnel in the field and to provide technical and material support to mine action programmes in Western Sahara."	1
"Place and year of birth: 1980"	0
"The Team has reviewed possible areas of cooperation with the OSCE Counter-Terrorism Unit, the Commonwealth of Independent States Regional Office for Central Asia and the Shanghai Cooperation Organization Regional Counter-Terrorism Agency, and has established contacts with other regional organizations, such as the Organization of American States, which has established the Inter-American Committee against Terrorism, and the African Union, which has established a counter-terrorism centre in Algiers."	1
"The Department of Civil Security and Emergency Preparedness was formally established in November under UNMIK Regulation No. 2000/61."	1
"For example, the sensitive issue of population identification is a long-term process that will continue after the elections, as well as the reintegration of ex-combatants, security sector reform, land tenure problems, the promotion of appropriate economic governance, the protection of human rights, the recovery of conflict trauma and addressing the root causes of the crisis."	1
"Specialists in the field of law enforcement will concentrate on a specialized and autonomous task force."	1
"resolutions 751 (1992) and 1907 (2009)"	0
"The name of the shareholders must also be declared."	0
"4. Decides to remain seized of the matter."	0
"\" The Security Council also reiterates its call upon all parties listed in the annexes to the report of the Secretary-General on children and armed conflict to address all other violations and abuses committed against children and to take concrete action and commitments in this regard."	0
"2. Decides that the Counter-Terrorism Committee Executive Directorate shall continue to function as a special political mission, under the policy guidance of the Counter-Terrorism Committee, for the period ending 31 December 2017, and also decides to conduct an interim review by 31 December 2015;"	1
"- To urge humanitarian and development organizations to take appropriate measures to prevent sexual exploitation and abuse by their personnel, including predeployment and in-theatre training, and, in the case of United Nations actors, to promote and ensure compliance, including by civilian personnel in United Nations peacekeeping and other relevant missions, with the provisions of the Secretary-General's bulletin on special measures for protection from sexual exploitation and abuse (ST/SGB/2003/13)."	0
"During its last visit to Damascus from 10 to 15 December 2014, the Declaration Assessment Group continued interviews with the senior staff of the Syrian chemical weapons programme, held technical meetings with the Syrian National Authority and visited two sites."	1
":: Conduct further verifications in areas where initial review of reports has revealed gaps in information or implementation relating to all aspects of the resolution covering all required actions, for each type of weapon or their respective means of delivery and related materials, including modification of matrices if useful"	1
"Conduct of the investigation ordered by the first investigating judge of the Beirut military court into the investigations and anything that might shed light on the investigation into the explosion that caused the death of former Prime Minister Hariri and others."	1
"Chief of Staff, Rwandan Armed Forces"	0
"The Council underlines the need to strengthen the transnational cooperation of law enforcement agencies, in particular by including maritime security in security sector reforms and by adopting bilateral and regional agreements to facilitate measures, in accordance with international law, against drug trafficking by sea and to prosecute persons suspected of such trafficking, following interdictions on the high seas. It requests the United Nations Office on Drugs and Crime (UNODC) and other relevant international and regional organizations to continue to provide support."	1
"Although a national arrest warrant was issued against him on the same day, it could not be enforced because the President of the National Assembly had fled the country."	0
"Karenni National Progressive Party/Karenni Army"	0
"There are various modes of transporting drugs to West Africa (maritime and sea containers, private aircraft, human couriers by air, postal shipments)."	0
"Letters of credit expiring in 2006 and 2007"	0
"Letter dated 14 October 2005 from the Secretary-General and High Representative for the Common Foreign and Security Policy of the European Union addressed to the Secretary-General of the United Nations Pursuant to Security Council resolution 1575 (2004), I attach the third quarterly report on the activities of the European Union military mission in Bosnia and Herzegovina (EUFOR)."	1
"Welcoming the progress that Burundi continues to make towards peace, stability and development, and emphasizing the need for the United Nations system and the international community, including the international financial institutions and Burundi's development partners, to maintain their support for the consolidation of peace and long-term development in the country,"	1
"The Executive Directorate has adopted a multimedia approach to reaching target audiences, using communication tools and channels such as the Committee's website, a Twitter account and an electronic newsletter, as well as news services provided by the Department of Public Information."	0
"The Financial Intelligence Unit began its operational activities in the early 1990s. A law was established to address a growing problem of money-laundering by organized criminal groups, which was amended in 2002 to include the suppression of the financing of terrorism. âMoney market agentsâ were forced to identify their clients, keep records of customer identity and customer account activities for at least seven years after the account was closed, and to inform the unit of any significant cash transactions (over $7,000), suspicious transactions, and instructions for the transfer of funds to or from the country."	1
"(h) The development of methodologies to enhance the effectiveness of cooperation with individual States, subregional, regional and international organizations, multilateral export control regimes and relevant entities of the United Nations system, and the assessment of the level of cooperation among the Committees established pursuant to resolutions 1540 (2004), 1267 (1999) and 1373 (2001), and to assess, in particular the level of exchange of information and coordination with respect to country visits, with specific recommendations, where appropriate, with a view to enhancing cooperation."	1
"Reaffirming previous relevant resolutions, the latest of which was resolution 388 (Riyadh, 29 March 2007) of the nineteenth ordinary session of the Council of the League of Arab States at summit level,"	0
"(k) Provide military training, including in human rights, international humanitarian law, child protection and gender-based violence prevention, to various members and units of FARDC integrated brigades deployed in the eastern part of the Democratic Republic of the Congo, as part of broader international efforts to support security sector reform;"	1
"Dollar equivalent: Iranian rials 455,090,972/1,375"	0
"The Agreement also provides for the early release and repatriation of prisoners of war and all other persons detained as a result of the armed conflict."	1
"The Team recalls that the Security Council, in paragraph 5 of resolution 1526 (2004), urged all States to establish internal reporting requirements and procedures on the cross-border movement of foreign exchange on the basis of applicable thresholds."	1
"The conduct of joint or parallel operations by MONUC and FARDC, including presence-building and cordon-and-search missions and day and night patrols, has resulted in an improvement in the security situation in South Kivu; two FARDC battalions, some 1,000 in total, participated in one of these operations in the Kahuzi Beiga Park area, where FDLR is concentrated, from 6 to 9 September."	1
"As a result, transactions suspected of financing terrorist acts will be subject to the same reporting and suspension system used in money-laundering cases."	1
"131. An adjustment has also been made to discount the residual value of equipment used in the oil recovery programme until 31 December 1992."	0
"The Commission had received credible evidence that Mi-8 and Mi-24 helicopters and Antonov aircraft had been used during the air strikes on the villages."	0
"(b) A committee composed of all members of the Security Council shall be established in accordance with rule 28 of the provisional rules of procedure for the performance of the functions set out in the annex to the present resolution;"	1
"Its establishment has responded to allegations of violations of international human rights law and international humanitarian law in conflict situations and in situations of high levels of violence, often (but not exclusively) related to electoral or political processes in which serious human rights violations have occurred."	0
"At the 6492nd meeting of the Security Council, held on 28 February 2011, in connection with the Council's consideration of the item entitled \"Threats to international peace and security caused by terrorist acts\", the President made the following statement on behalf of the Council:"	0
"Mali and Niger are members of the Joint Subregional Intelligence Centre, which has just been established in Tamanrasset, Algeria."	1
"Progress has been made in the national police registration, vetting and certification programme, with the full certification as at 20 September of 2,944 officers (of whom 565 were women), 94 per cent of the staff."	1
"4. Requests the Executive Director of the Counter-Terrorism Committee Executive Directorate, within 30 days of his assumption of office, to submit to the plenary, in consultation with and through the Secretary-General, for approval, an organizational plan for the Counter-Terrorism Committee Directorate, in accordance with the report of the Committee (S/2004/124) and the applicable rules and regulations of the United Nations, specifying its structure, staffing and budgetary requirements, management guidelines and recruitment procedures, recognizing in particular the need for an effective and cooperative management structure for the new body, with a staff of qualified and experienced international civil servants who will be subject to the provisions of Article 100 of the Charter, with the highest standards of efficiency, competence and integrity, and giving due consideration to the importance of recruiting staff in such a manner as to ensure the widest possible geographical representation;"	0
"UNODC continued to provide counter-terrorism technical assistance to East African countries, for example, in close consultation with national authorities in Djibouti, Ethiopia, Kenya and Somalia, developed long-term assistance programmes to strengthen their criminal justice response to terrorism cases in accordance with the rule of law and with due respect for human rights."	1
"A number of Member States have taken interim measures to enable their officials to implement the sanctions when a name has been included in the Security Council List, even before the national validation process has been completed."	1
"Some States had developed national counter-terrorism strategies, but the level of implementation should be improved and greater attention should be paid to preventive aspects, including addressing incitement to terrorism and the threat of any radicalization leading to violent extremism."	1
"Bearing in mind also the recommendation of the Commission in this regard that international assistance should be maintained to enable the Lebanese authorities to fully clarify this terrorist act, and it was essential that the international community make a sustained effort to establish, together with the Lebanese authorities, a structure of assistance and cooperation in the field of security and justice,"	1
"(a) The elimination of on-site biocorrection and long-term inspection;"	0
"• Visits by pleasure craft or private aircraft to Fiji (e.g. for refuelling) may give rise to problems related to subparagraph 2 (g) of the resolution. How are these matters dealt with in Fiji?"	0
"Karenni National Progressive Party/Karenni Army"	0
"The Team noted in its second report (S/2005/83, para. 135) that the European Union, the most developed of these areas, guarantees its citizens freedom of movement within the territory of its 25 member States, while the Schengen Agreement eliminated border controls between many of the European States, while strengthening controls at the external borders of the Schengen area and enhancing judicial and police cooperation within the Schengen system."	1
"However, for many others the situation remains precarious and ethnically motivated attacks have become more serious, if not more frequent."	0
":: Full implementation of the integrated command centre"	0
"The Group of Experts detected a new mining operation along the Bandama River in an area known as Bakalé."	0
"72. The situation in Georgia (8 October 1992; 15 June 2009)."	0
"One hundred and forty-six States, including those that have not submitted reports, have said that they distribute the list (and any changes to it) to banks and, to some extent, to other financial institutions, as well as to entry points in the country and other relevant authorities, but visits have shown that, in many States, the distribution of updates to the list is often slow, especially at border posts."	1
"- On 19 September, following the explosion of a vehicle caused by a mine in Aguilhok, six Chadian battalion personnel were evacuated by helicopter to the Chinese level II medical centre in Gao."	0
"UNDP and UNIPSIL also contributed to the development of police training modules on a number of issues, including the electoral law and the professional standards applicable in the performance of their functions."	1
"This is an international obligation that States must fulfil in order to contribute to justice for the victims of such painful events."	0
"1. Aliens Act of 13 June 2003 (Journal of Laws of 2003, No. 128, paragraph 1175)"	0
"(a) To participate more actively in international and regional organizations (such as the Collective Security Treaty Organization, the Organization for Security and Cooperation in Europe, the Shanghai Cooperation Organization Regional Counter-Terrorism Agency and the Organization for Security and Cooperation in Europe Border Management Staff College in Dushanbe, Tajikistan), to focus on activities aimed at overcoming gaps and improving the implementation of resolution 1373 (2001);"	1
"List of the Government of Liberia"	0
"In the context of the new codification of substantive criminal legislation, the Government proposed to establish the criminal liability of legal persons for a number of offences, including terrorist offences and offences associated with terrorism, such as money-laundering and the financing of terrorism."	1
"Foreign accounts of the Central Bank of Iran"	0
"In November, regime forces also wounded three media activists."	0
"As noted above, this approach is based on improving the Executive Directorate's understanding of current challenges in the fight against terrorism, a knowledge gained through active dialogue with States, in particular through its country assessment visits. The Executive Directorate continues to process specific requests for technical assistance related to the needs identified in the States it has visited and conducts this work in a selective manner by choosing the donors it considers most willing to collaborate, either because they are already involved in existing programmes in a particular State or because they have a strong interest or clear technical capacity in the area in question."	1
"The Secretary-General and his Special Coordinator for Lebanon have made statements strongly condemning Fatah al-Islam's criminal actions as attacks on Lebanon's stability and sovereignty."	0
"To be held on Wednesday, 11 June 2008, at 10 a.m."	0
"This operation was carried out on site during the month of September."	0
"Report of the Secretary-General on the United Nations Integrated Mission in Timor-Leste (S/2012/43)."	0
"Some major causes related to organized crime, including trafficking in human beings and drug trafficking, have been thoroughly investigated by the international community and their perpetrators brought to justice."	1
"As requested by the Council in resolutions 2170 (2014) and 2178 (2014), the Council was also briefed by the Chairmen of the Security Council Committee established pursuant to resolutions 1267 (1999) and 1989 (2011) concerning Al-Qaida and associated individuals and entities and the Security Council Committee established pursuant to resolution 1373 (2001) concerning counter-terrorism."	1
"If banks take a very restrictive approach to deciding what should be considered as possible cases of terrorist financing, they are as likely to ignore the use of new methods as to discover the use of old methods."	1
"Eighty-one per cent of the victims were civilians."	0
":: The Committee should ensure that measures taken by States to combat terrorism are in conformity with their obligations under international law, in particular human rights and refugee and humanitarian law."	1
"Some of these invoices were translated in part and others had not been translated."	0
"In this regard, in July 2012, the Executive Directorate organized in Rabat, in cooperation with the International Centre for Counter-Terrorism, and with the support of the Netherlands, its second workshop on the implementation of resolution 1624 (2005)."	1
"5. The situation in Timor-Leste (15 December 1975; 24 February 2011)."	0
"The exemptions to the arms embargo are set out in paragraph 54 of resolution 2127 (2013) and may be granted for the following: supplies intended solely for support or use by the Peacebuilding Mission in the Central African Republic, the African-led International Support Mission to the Central African Republic, the United Nations Integrated Peacebuilding Office in the Central African Republic and its guard unit, the African Union Regional Task Force and the French forces deployed in the Central African Republic (para. 54 (a)); supplies of non-lethal military equipment for exclusively humanitarian or protective purposes, and related technical assistance or training (para. 54 (b)); protective clothing, including anti-martella vests and military helmets, temporarily exported to the Central African Republic by United Nations personnel, representatives of the media and humanitarian and development workers and associated personnel, exclusively for their personal use (para. 54 (c)); supplies of small arms and related equipment intended exclusively for use in international patrols providing security services in the Trinational Protected Area of the Sangha River, to prevent the use of weapons and related personnel (para. 54 (para.c)); supplies of small arms and other related equipment intended for use in the Central African Republic for international patrols; supplies of international protection or other armed forces (para."	1
"Cases at the pre-trial stage (annex 2)"	0
"Serious clashes also took place between armed factions in the Palestinian refugee camp in Ain el-Hilweh, and a school of the United Nations Relief and Works Agency for Palestine Refugees in the Near East was attacked and damaged."	0
"Habsade received financial and military support from Atto, Muse Sudi, Sheikh Yusuf Indohaadde and others."	1
":: External and internal security arrangements (classification procedures for separating armed elements from civilians; demobilization and disarmament measures; technical assistance and training provided by international civilian police or military observers; location of camps at sufficient distances from international borders and risk areas; regional and subregional arrangements)."	1
"As noted above (see S/2010/85, para. 176), the reconfiguration of UNMIT police should be approached with caution, taking into account, inter alia, the need to maintain a sufficient presence in all districts and units to enable it to carry out monitoring, counselling, training and mentoring activities, as well as to provide the necessary support to further build the capacity and institutional development of the national police."	1
"(5) Promote economic recovery through relevant United Nations agencies;"	0
"The Internet has proved to be a valuable tool for terrorists because of the considerable technical and legal problems posed by the control and regulation of its content."	1
"Its findings have serious implications for the accountability of Government officials and the Council should carefully review its recommendations in determining what steps will be taken to put a definitive end to abuse and impunity in Darfur."	1
"PIC did not provide projections on the volume of distilled water production."	0
"(h) To participate actively in and support all activities undertaken within the framework of the United Nations Global Counter-Terrorism Strategy, including those of the Counter-Terrorism Implementation Task Force, established to ensure overall coordination and coherence of counter-terrorism activities within the United Nations system, in particular through relevant working groups;"	1
"According to witness reports, in January 2004, rebels attacked and looted a police station and State offices in Yassin, Southern Darfur."	0
"To be held on Wednesday, 9 June 2010, at 11.15 a.m."	0
"Opening address by His Excellency Mr. Amre Moussa, Secretary-General of the League of Arab States"	0
"All States have taken measures to regulate the production, sale and transfer of arms and explosives, although only four have fully implemented such measures."	1
"(c) To assist States in building capacity, in collaboration with the Anti-Money Laundering Group in Eastern and Southern Africa, to establish or strengthen financial intelligence units in the subregion and to develop the legislative and operational capacities of States to freeze funds without delay."	1
"5. Furthermore, we respectfully affirm that there are other methods, more expeditious and simple, that would ensure that just compensation is provided to victims of criminal acts in Rwanda."	1
"695. The monitoring programme would include the following:"	0
"The adoption of the electoral law by Parliament would enable the Independent Electoral Commission to establish the electoral calendar and continue the organization of the elections."	1
"50. The situation in Libya (22 February 2011; 16 December 2013)."	0
"The statement outlines issues of concern, and towards its end the urgent appeal of Somali women to the international community to raise gender issues, including Somali leaders, is welcomed."	0
"He also provided copies of the cheques which he claimed were sent to the employees."	0
"Finally, reconstruction is now about to begin."	0
"Conceived as an internal mechanism to enhance expertise and coherence and contribute to activities related to the main work of the Executive Directorate, these clusters will initially be established in the following functional areas:"	1
"That a set of customary rules governing internal armed conflicts has evolved in this way in the international community is confirmed by a number of elements."	1
"They also noted that the dissemination of more information on the harmful effects of piracy had led to positive changes in old pockets of piracy."	0
"On 11 April, Mr. Gbagbo, his wife and family members, staff and “gabinet” were apprehended by FRCI in a bunker of the presidential residence. On 13 April, former President Gbagbo was transferred to a place north of Côte d'Ivoire and his wife was taken elsewhere."	0
"It is a difficult transition, requiring patience and persistence."	0
"Gabon ratified the Optional Protocol to the International Covenant on Economic, Social and Cultural Rights."	0
"This success will be threatened if elections in the Democratic Republic of the Congo are not held before 30 June 2006."	0
"(d) The Committee shall ensure that measures taken by Member States to combat terrorism are in conformity with their obligations under international law, in particular human rights and refugee and humanitarian law;"	1
"Considerable residual contamination was detected in the study."	0
"\" The Security Council underlines that an inclusive political settlement and the successful deployment of the African Union-United Nations Hybrid Operation in Darfur (UNAMID) are essential for the restoration of peace and stability in Darfur."	1
"XVI. THE CLAIM OF W. J. WHITE LTD."	0
"Requests the Secretary-General to ensure that his [Special Representatives for Neighbouring Countries] coordinate the activities of [their respective missions], share available military information, especially with regard to cross-border movements of armed elements and arms trafficking, share their logistical and administrative resources, provided that this does not undermine the ability to fulfil their respective mandates, with a view to maximizing efficiency and reducing costs."	0
"This certainly cannot be interpreted as a gesture of support for the militias."	0
"However, the Monitoring Group notes that the lack of a central Government established in Somalia and the threat of widespread hostilities currently looming over the country have taken a long time, if any serious capacity-building activity at the national level has so far not been overlooked."	0
"Aware of the importance of the subregion as a transit zone, most States have adopted rules on asylum, the movement of travellers and the prevention and elimination of cross-border movements of terrorists."	1
"Civil defence vehicles, firefighters and the Red Cross quickly went to the site and began to extinguish the fire, gather the bodies and take the wounded to the hospital."	1
"In their interventions, Member States noted that terrorism was one of the most serious threats to international peace and security and that a coordinated and sustained effort was needed to defeat it."	0
"The Mission's sexual exploitation and abuse policy group is completing the development of a UNOCI code of conduct in this regard and is participating in the country network dealing with these issues."	1
"In addition to reporting on the work of human rights information mechanisms and serving as a secure repository of information provided by relevant stakeholders, the work of such a structure would facilitate United Nations efforts to prosecute or hold accountable those primarily responsible for crimes against humanity."	1
"Formulation of practical guidelines for gender mainstreaming in sustainable reconstruction processes in crisis environments and comprehensive guidelines to be referred to in the field; consideration of gender issues and property and land management in post-conflict situations; development of a set of tools to provide a conceptual basis for gender issues in relation to governance programmes in post-conflict situations."	1
"by country or international organization Country or international organization"	0
"18 September 1998 RESOLUTION 1197 (1998)"	0
"Increased accountability for human rights violations, including gender-based violence; development of gender-sensitive legal instruments. G.5 Formulation and implementation of gender-sensitive victim support programmes, including legal assistance and witness protection programmes."	1
"Vice-Chairmen: Azerbaijan, Portugal and United Kingdom of Great Britain and Northern Ireland"	0
"Since January, MONUSCO has committed more than 100 incidents against members and supporters of the political opposition, journalists and human rights defenders."	0
"At the 6897th meeting of the Security Council, held on 20 December 2012, in connection with the Council's consideration of the item entitled \"Post-conflict peacebuilding\", the President made the following statement on behalf of the Council:"	0
"From a regional perspective, the most important components are, of course, the former Yugoslav Republic of Macedonia and Serbia and Montenegro."	0
"Particular emphasis should be placed on the need for local institutions to take into account and respect the views and interests of all communities."	0
"The strategy would also address the investigation of terrorist acts and the persecution of their perpetrators, in order to bring terrorists and their supporters to justice."	0
"Thirdly, the humanitarian situation in Somalia remains a cause for concern."	0
"Significant progress was also made in establishing operational municipal assemblies, with over 800 members of the new assemblies sworn in on 11 November."	1
"Recent developments in several States of the subregion have been accompanied by changes in security structures."	1
"It recalls, in particular, the obligation to distinguish between the civilian population and combatants, and the prohibition of indiscriminate attacks and attacks on civilians and civilian objects, as well as the prohibition of the use of chemical weapons and the use of weapons, projectiles, materials and methods of warfare of such a nature as to cause superfluous ills or unnecessary suffering."	1
"The Uniform Law against Financing of Terrorism of the West African Economic and Monetary Union provides for the administrative freezing of terrorist assets."	1
"16. Decides to remain seized of the matter."	0
"1.1 Please indicate whether the new Penal Code has been enacted, especially the provisions criminalizing the recruitment of persons for the commission of terrorist acts."	1
"In our view, it is important that the Conference has clearly emphasized the importance of Afghan leadership and, ultimately, ownership of efforts to meet the key challenges facing Afghanistan: security, lack of institutional capacity, corruption and narcotics."	0
"Turkey has launched the National Unity Project to address socio-economic inequalities in Turkish society that are allegedly fuelling Kurdish discontent and recruitment of PKK members."	1
"Moreover, both their fact-finding mission and their identification of the perpetrators would have benefited from the assistance of a large number of investigators, lawyers, military analysts and forensic experts."	1
