"es_en_DEEP"	"MatCoop"
"It took us three days to locate my father's body because he was buried."	0
"The mission's recommendations in this regard require careful consideration."	0
"The purpose of this initiative was to increase security in the region, strengthen the Juba Valley Alliance and reconcile General \"Morgan\" and the Alliance, who for years have been fighting for control of territories in the Juba Valley."	1
"With respect to eligible regions, the Board of Directors decided as follows:"	0
"They had done everything possible to ensure that the conflict did not affect civilians. Its objective was to restore the dignity of the people of CÃ´te d'Ivoire."	1
"B. Real estate 47 - 56 12"	0
"The Security Council reaffirms the importance of the principle of non-refoulement and the right of refugees to voluntarily return to Syria, and encourages Syria's neighboring countries to protect all people fleeing violence in Syria, including the Palestinians."	1
"In this way, people traveling from the Bahamas to the United States go through the procedures of the United States Customs and Immigration Service in Nassau and Freeport, before arriving in the United States."	0
"In some of its visits, particularly to least developed States, the Team found that relevant national agencies involved in the fight against terrorism were severely under-resourced, especially in the area of ââborder security, to the point that even relatively senior officials did not have access to computers or other relevant technical facilities, and others did not have the staff necessary for critical tasks."	1
"Animated by the desire to continue providing assistance to Lebanon in the search for the truth and in bringing about the criminal responsibility of the participants in this terrorist act,"	1
"As a result, transactions suspected of being used to finance acts of terrorism will be subject to the same reporting and suspension system used in money laundering cases."	1
"Reform of the forestry sector has progressed slowly."	0
"The European Union's European Arrest Warrant offers an effective alternative to the traditional extradition process, allowing direct contact and empowering judicial authorities."	1
"The report should also indicate the contributions that the Council could make to promote the effective implementation of existing humanitarian law standards, and should identify whether there are significant gaps in existing legal standards by reviewing recent reports in this regard."	0
"Industry and private sector participation are essential to implement regulatory frameworks based on resolution 1540 (2004). The risk of weapons of mass destruction entering the hands of non-state actors can only be effectively addressed if the private sector cooperates with industry."	1
"84. According to another senior commander, most of the recruits \"are knowledgeable in firearms and are strong and fit\" but \"they need to learn discipline.\" He noted that recruits did not always return uniforms, weapons and ammunition upon demobilization and that weapons and ammunition were sometimes distributed through tribal chiefs to ensure their return when the time came."	1
"All but one State has taken some steps to establish a comprehensive anti-terrorism legal framework that incorporates terrorism-related crimes."	1
"25. Requests all Member States, but in particular the Government of Afghanistan, to inform the Committee if they are aware of any information indicating that a delisted individual, group, undertaking or entity should be designated pursuant to paragraph 1 of this resolution, and further requests that the Government of Afghanistan submit to the Committee an annual report on the status of individuals reported for reconciliation who were delisted by the Committee in the previous year;"	0
"- Resolution 1373 (2001) of September 28, 2001;"	0
"Its collaboration with regional and subregional organizations should focus on facilitating the interaction of regional and national institutions to resolve implementation problems at the national level, reconciling priorities, harmonizing approaches, providing advisory and drafting services, and matching requests to offers of assistance. attendance."	1
"Training courses on the issue of sexual exploitation and abuse; formulation of policies and procedures on the organizational aspects of victim assistance."	1
"c) Encourage the implementation of procedures to verify that asylum seekers and refugees have not committed terrorist acts."	0
"These abuses occurred between August 2002 and January 2003."	0
"The decree sparked new activities regarding the integration of more Congolese armed groups into the FARDC."	1
"Collaboration with women's organizations and national governments in support of post-conflict constitutional, electoral and legislative reform processes; building institutional capacity of national systems for women in post-conflict areas."	1
"As regards the first two points, significant progress has been made in both areas since the submission of the fourth report of the Czech Republic. The amendment to the Anti-Money Laundering Act was adopted on 8 April 2004 and entered into force on 1 September 2004. It establishes the obligation to report suspicious transactions associated not only with money laundering but also with terrorist financing, and defines more clearly the natural and legal persons to whom it applies."	1
"In view of the urgency of the investigation, we sent telegram No. 2065 dated 14 February 2005 to the regional police unit leadership and the commanders of the police units requesting them to conduct all necessary investigations within the jurisdiction of each unit with regard to the bodies that had been brought to the hospitals in each area, in order to enable their relatives to identify them, and to inform me accordingly, thereby enabling me to obtain approval from the relevant authorities to return the bodies to their relatives."	1
"Organization of a comprehensive training course for all country representatives on humanitarian issues, with special attention to gender awareness."	1
"n) Coordinate and cooperate with the national focal point for counter-terrorism or a similar coordinating body in the country visited, as appropriate;"	1
"Member States submitted information during the review that will lead to a total of 465 proposed amendments to the List (and changes to 217 descriptive summaries of the reasons for listing)."	0
"The invoice issued by the consignor of the shipment seized in the Kilis (Turkey) case, SAD Import Export Company, indicates that the consignment was related to previous maritime shipments to \"the ports of Lattakia or Tartus.\""	0
"Table 2 shows the combined income from cocoa and oil exports."	0
":: \"Production\": all production phases will be understood, such as:"	0
"Notably, other senior Lebanese representatives, such as former Prime Minister Najib Miqati, have stated that \"there should be no weapons inside or outside the camps.\""	0
"After initial hesitation, the party chose to resolve this challenge legally and in accordance with its own party constitution by holding new elections for its party delegates."	0
"d) Seek support, where appropriate, from United Nations peacekeeping and other relevant missions, as well as from United Nations country teams and the International Committee of the Red Cross, and , where appropriate, from other members of the International Red Cross and Red Crescent Movement, in training and awareness-raising on international humanitarian law, human rights law and refugee law."	1
"With the exception of one State, which has provided very little relevant information, all East Asian States are members of various regional organizations and mechanisms for international cooperation in combating terrorism and have sought to strengthen these relations."	1
"At the very least, it should alleviate their suffering by forcing the State of Sudan to compensate them."	1
"All States have adopted some measures to regulate the production, sale and transfer of weapons and explosives."	1
"ABANDONMENT OF THE CLANDESTINE WORLD PROGRAM"	0
"12. Reiterates its appreciation to the African Union partners already supporting MISCA, notably the United States of America, France and the European Union (EU), notes with appreciation the technical support provided by the United Nations in accordance with the paragraph 37 of Security Council resolution 2127 (2013) of 5 December 2013, as well as the contributions made by Canada and Luxembourg to the trust fund established by the Secretary-General of the United Nations pursuant to paragraph 43 of the mentioned resolution, and the pledges made by Japan and the United Kingdom of Great Britain and Northern Ireland."	1
"Several members of the Group expressed their strong support for resolution 2185 (2014) and the first briefing by the heads of police components as an important basis for the Group's work on the police aspects of peacekeeping operations ."	0
"c) Decided that the Executive Directorate would continue to act as a special political mission, with the policy guidance of the Committee, for the period ending 31 December 2010, and also decided to conduct an interim review of the work of the Executive Directorate before 30 June 2009 and review it thoroughly before the end of his mandate;"	1
"Prior to the fifth extraordinary meeting, the Committee will hold thematic discussions on intensifying efforts to limit the mobility of terrorists, involving experts from all relevant international technical organizations."	1
"One of those vehicles was parked next to the UNOCI flight waiting room."	0
"h) Developing methodologies to improve the effectiveness of cooperation with individual States, subregional, regional and international organizations, multilateral export control regimes and relevant entities of the United Nations system, and assessments of the level of cooperation between the Committees established pursuant to resolutions 1540 (2004), 1267 (1999) and 1373 (2001), and to assess, in particular, the level of information exchange and coordination with respect to country visits, with specific recommendations, where appropriate, with a view to improving cooperation."	1
"Where possible, governments work with their territories to encourage them to create appropriate domestic rules in this area, but in many cases legislative frameworks need to be improved."	1
"Member States should continue to consider listing key individuals who are essential to providing training or facilitating the recruitment of personnel for Al-Qaida affiliated entities."	0
"Experience shows that there is no single format for the constitution and operation of all fact-finding and fact-finding commissions: the mandate, the investigation in question, the appointment of independent experts or members, and the circumstances surrounding the establishment. of the body and its procedures vary in each case."	0
"Comprehensive anti-terrorism laws apply in four states."	1
"Council members said the United Nations should lead the international response to Libya's post-conflict needs."	1
"Reaffirming its resolution 1540 (2004) and the need for all States to fully implement the measures contained therein, and calling upon all Member States and international and regional organizations to actively cooperate with the Committee established pursuant to that resolution, including in the course of the comprehensive review called for in resolution 1810 (2008),"	1
"Furthermore, on February 14, he was received in Nouakchott by the President of Mauritania, Mr. Sidi Mohamed Ould Cheikh Abdellahi, and met with the Minister of Foreign Affairs and Cooperation, Mr. Mohamed Saleck Ould Mohamed Lemine, and other senior Government officials. ."	0
"Likewise, when it came to the recipients of reparations, it was important to have a perspective that went beyond individual victims and also take into account the affected communities;"	1
"Meanwhile, resources are being mobilized with the support of UNOCI, UNICEF and the World Food Program to rehabilitate and reintegrate 511 child soldiers, including 204 girls, who have been released by Forces Nouvelles leaders and handed over to the UNICEF."	1
"Acting under Chapter VII of the Charter of the United Nations,"	0
"Liberia received $277,961 in diamond export duties during the first nine months of 2008."	0
"These discussions will be continued at the 2006 Review Conference."	0
"S/RES/1564 (2004), para. 6"	0
"Report of the Secretary-General on the United Nations Operation in Cyprus (S/2002/1243)."	0
"The situation in Somalia (March 17, 1992; May 11, 2011)"	0
"Both Governments are indispensable partners of the Committee in its efforts to achieve a more effective regime focused on its objective of combating the threat, and offered the Committee many useful suggestions and detailed information on recent developments."	1
"Most States in the subregion have enacted laws to regulate the import and export of weapons."	1
"The Council also decided to review in three to six months whether conditions on the ground might permit a reduction in peacekeeping military personnel to 6,000."	1
"f) Actively participate in and support all activities undertaken within the framework of the United Nations Global Counter-Terrorism Strategy, including those of the Counter-Terrorism Implementation Task Force established to ensure coordination and overall coherence of counter-terrorism activities in the United Nations system;"	1
"However, despite these advances, some challenges to the Government's authority and its effective control over the national territory still persist."	0
"Very few States have fully updated their legal frameworks to include specific counter-terrorism laws."	1
"Which will be held on Tuesday, August 26, 2003, at 6:00 p.m."	0
"As a result of these operations, arms trading networks have been forced to exercise greater caution when shipping weapons from Yemen to Somalia via the Gulf of Aden."	1
"Since early 1998, more than 720,000 passengers have used UNHCR-sponsored inter-entity bus lines."	0
"The total income from privatization amounts to 310,411,684 euros."	0
"Council members expressed concern about the increase in piracy, armed robbery at sea and reports of hostage-taking in the Gulf of Guinea and their detrimental effects on security, trade and economic activities in the subregion. ."	0
"Report of the Secretary-General submitted pursuant to paragraph 6 of resolution 1883 (2009) (S/2009/585)\"."	0
"Permanent Mission of Somalia to the United Nations"	0
"Regarding the disarmament, demobilization and reintegration of ex-combatants, the parties agreed that the chiefs of staff of the National Armed Forces of CÃ´te d'Ivoire (FANCI) and the Forces Nouvelles would meet on July 7 to finalize the schedule of the disarmament, demobilization and reintegration process that was scheduled to begin at the end of July."	1
"The Russian Federation has also adopted norms to protect the rights of victims of terrorism and has promoted measures concerning the conditions of detention of persons suspected of having committed a terrorist act."	1
"UNMIL also has 11 immigration advisors."	0
"Total (three million nine hundred thousand dollars)"	0
"The Special Notification prepared by INTERPOL and the Committee established pursuant to resolution 1267 (1999) to respond to Security Council resolution 1617 (2005) is a solid basis for exploring the possibility of expanding practical cooperation between the two organizations regarding other arms embargoes."	1
"States have also strengthened the application of necessary measures against terrorism at the institutional level."	1
"One hundred and forty-six States, including those that have not submitted reports, have said that they distribute the list (and any amendments to it) to banks and, to some extent, other financial institutions, as well as to points of entry into the country and to other relevant authorities, but visits have shown that in many States the distribution of list updates is often slow, especially at border posts."	1
"Although no real case of use of such a device has been reported since the publication of the Team's previous report, concern remains that the groups and individuals included on the list remain interested in committing such an attack. type, as well as news that illicit sources of radiological materials still exist, particularly in areas of Al-Qaida and Taliban activity."	0
"Finally, it must be established under what circumstances force can be used in a peacekeeping operation, ranging from self-defense to peace enforcement through robust peacekeeping, and how this fits into the implementation. of its own mandate to protect civilians."	0
"This is a fundamental step forward, in the sense that responsibility for implementation is delegated to the level at which the police provide their services, which in turn facilitates the principle of local autonomy as much as possible."	1
"...noting the importance of ongoing assessments of tactics and procedures and subsequent investigations and reviews in cooperation with the Government...in cases where there have been civilian casualties and when the Government... . deems such joint investigations appropriate, as well as continued cooperation with national security forces... towards greater institutionalization of the protection of civilians, especially women and girls,"	1
"States have made considerable progress in establishing anti-money laundering and anti-terrorist financing laws, but there is a need to increase regional cooperation at the operational level."	1
"No State reported to the Committee any attempt to violate the arms embargo, but the Team has observed several situations in which its effective implementation is complicated by factors such as the presence of entities associated with Al-Qaida in regions emerging from conflict or in areas outside government control, for example in Somalia and Afghanistan."	0
"However, the overall pace of reporting needs to be maintained to collect more complete and up-to-date information on progress towards full implementation of the resolution."	1
"Border control requires the establishment of measures and practices for the adequate screening of travellers, refugees and asylum seekers, the effective control and inspection of passenger cargo and baggage, and the detection and prevention of the smuggling of small arms and light weapons, as well as cash and bearer negotiable instruments."	1
"The Team has frequently stated that the relevance of the sanctions regime to the threat posed by Al-Qaida and the Taliban depends on the Consolidated List containing appropriate names and not containing inappropriate ones."	0
"The transfer of powers in such sensitive areas cannot work without a strict policy of supervision, intervention and sanction."	0
"FAO is also providing technical and legal support to the Federal Government of Somalia to facilitate the adoption of a sound legal framework for fisheries, including the establishment of a Somali Federal Fisheries Authority under the Ministry of Fisheries and Marine Resources."	1
"Two vehicles were burned and the ground floor offices were looted."	0
"As indicated above, there are various provisions of international humanitarian and human rights law that refer to the protection of civilians in situations of armed conflict."	1
"179. Imad Abdulwahab Hussein Al-Roumi"	0
"a) The violence recorded in the Government Palace around noon on April 28, which caused two deaths, at least four gunshot wounds and two others seriously injured;"	0
"The Office of Information and Administration will continue to expand and update the Committee's website and increase the number of hyperlinks provided to the websites of the United Nations and other entities with counter-terrorism mandates."	1
"These treaties contain certain provisions that are especially relevant to the current armed conflict in Darfur, including: a) the right to life and not to be arbitrarily deprived of life; b) the right not to be subjected to torture or cruel, inhuman or degrading treatment or punishment; c) the right not to be subjected to arbitrary arrest or detention; d) the right of every person deprived of liberty to be treated humanely with the respect due to the inherent dignity of the human being; e) the right to move freely, choose one's own residence and not be arbitrarily displaced: f) the right to property; adequate housing and not be subject to forced removal; g) the right to health; h) the right to adequate food and water; i) the right to a fair trial; j) right to file an effective remedy for any serious violation of human rights; k) the right to reparation for human rights violations; and l) the obligation to bring to justice those responsible for human rights violations."	1
"B. Costs of unproductive labor 49 - 53 21"	0
"The Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban (hereinafter referred to as \"the Committee\") has given Member States many opportunities to express their views, whether directly or through the Surveillance Team."	0
"Four States have enacted appropriate legal measures to criminalize the provision of shelter, while four have partially done so and two have not provided information in this regard."	1
"Furthermore, the Group of Experts on the Democratic Republic of the Congo recommended that the committee established pursuant to resolution 1533 (2004) promptly inform the Group and the United Nations Mission in the Democratic Republic of the Congo (MONUC) of notifications that received from States supplying arms to the Democratic Republic of the Congo under arms embargo waivers (S/2008/43) and that the Government of the Democratic Republic of the Congo inform MONUC of any planned arms shipments."	1
"12. You decide to continue addressing the issue."	0
"UNIFIL estimates that approximately 50% of the local population has left the towns in the south of the country."	0
"Conditions in the camps are poor, with unequal access to water and toilets, and overall rates of acute malnutrition reach 12.5% ​​in the camps."	0
"These alliances allow them to participate in broader operations aimed at destabilizing the African continent."	0
":: Another member reiterated his call for holding an international conference to make the Middle East a zone free of weapons of mass destruction."	0
"III. The dissolution of the Revolutionary United Front"	0
"In order to respond to this request from the Security Council, the Committee expects that, before the end of November 2009, the Executive Directorate will submit to it for its consideration a first update of the study on the implementation of resolution 1373 (2001) at the global level."	1
":: On November 16, 2014, regime warplanes attacked the town of Maarat Misreen with a missile, killing five people, including a child and a woman, and destroying residential buildings."	0
"It is therefore essential that command and control of the operations of the armed forces be exercised at a central level."	0
"Only one custom-made rug with a figurative pattern is described in detail in the claimant's personal statement."	0
"Furthermore, and this is important, the Commission has gathered a considerable amount of material on various influential individuals, institutions, groups of people or committees that have played an important role in the Darfur conflict and have even planned, ordered, authorized or instigated attacks."	1
"When such corroboration could be carried out and the victim identified the perpetrator(s), appropriate prosecution was recommended and the case was referred to the district attorney's office."	1
"Member States should also take measures to detect and trace illicit small arms and light weapons in a timely and reliable manner."	1
"As the situation in the Beni area indicates, efforts to neutralize armed groups that are dispersed and supported by local criminal networks and FARDC elements need some time to translate into visible results."	1
":: The needs of women and girls during repatriation and resettlement and for post-conflict rehabilitation, reintegration and reconstruction."	1
"On behalf of the Security Council Committee established pursuant to resolution 1373 (2001) on combating terrorism, I have the honor to submit the report of the Committee to the Security Council for its in-depth review of the work carried out by the Committee. and its Executive Directorate from 2011 to 2013 (see annex)."	1
"Firstly, the effective application of the sanctions regime is directly related to the quality of the information available about those to whom it is applied."	1
"The Council requests the Secretary-General to continue to provide and implement guidance on how to address sexual violence in pre-deployment training and initial orientation of military and police personnel, and to assist missions in developing procedures for specific situations to address sexual violence in the field and to ensure that technical support is provided to troop- and police-contributing countries to include guidelines for military and police personnel on how to address sexual violence. sexual violence in pre-deployment training and initial orientation."	0
"The Government of Lebanon informed me that in recent weeks it had taken significant steps to restrict this flow of arms and people and the free movement of arms and armed elements to and from the Palestinian refugee camps in Lebanon, in particular since the end of September 2005."	1
"Implementation of the United Nations Human Rights Due Diligence Policy"	0
"(c) Cooperate, in particular through bilateral and multilateral agreements and conventions, to prevent and suppress terrorist attacks and take action against those who commit such acts;"	1
"We want to ensure that, for its part, Haiti is willing to do so."	0
"In Mali, terrorists were on the verge of destroying the basic structure of the State, which affected the stability of the country and the entire region. Al-Qaida in the Islamic Maghreb, the Movement for Unity and Jihad in West Africa and Ansar Eddine continue to operate in northern Mali, an activity that indirectly affects neighboring countries and endangers the presence and work of the United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA)."	0
":: April 26, 2005: The last Syrian troops leave Lebanon, ending a 29-year military presence."	1
"Effective coordination and implementation of mine action policy and guidelines for gender mainstreaming in mine action programmes. Inter-Agency Working Group on Disarmament, Demobilization and Reintegration (Chaired by DPKO and UNDP) Established by CEPS to enhance the Organization's performance in the field of disarmament, demobilization and reintegration, the Inter-Agency Working Group provides technical advice , for example, on training needs, policies and strategies; maintains and reviews existing United Nations disarmament, demobilization and reintegration guidance material; develops and manages the United Nations Resource Center on Disarmament, Demobilization and Reintegration Activities; and facilitates the planning of disarmament, demobilization and reintegration operations among relevant United Nations agencies."	1
"The Mission has collected information indicating that the death squads are made up of elements close to the Government, the presidential guard and a tribal militia of the President's ethnic group."	1
"3. Hasan Abdulrahman, nurse, by Kebtan Aljabal"	0
"b) The accounts of the Organization are kept in accordance with fund accounting."	0
"The Working Group facilitated and co-chaired an international conference on national and regional counter-terrorism strategies, at which participants defined a set of principles that Member States and regional organizations should take into account when formulating their respective strategies."	0
"Despite overall progress, it should be noted that poverty and unemployment remain a formidable challenge, as highlighted by Ms. Ameerah Haq."	0
"III. Operations of the United Nations Observer Mission in Georgia"	0
"Just last month, in a statement on 27 May 2011, Secretary-General Ban Ki-moon expressed his view that assistance and goods destined for Gaza should be sent via legitimate routes and through established channels and made clear that flotillas carry the potential to escalate and spark violent conflict."	0
"Letter dated 17 May 2004 addressed to the President of the Security Council from the Permanent Representative of Yemen to the United Nations (S/2004/393)."	0
"As the Committee and Interpol determine the best way forward, the Team hopes that the Interpol database can provide additional identifying information on individuals on the consolidated list."	1
"161. Additionally, there may be financial losses resulting from the use of proceeds to finance non-property losses, such as tax revenue."	0
"1. Locating fugitives and preparing trials"	0
"To be held on Monday, June 7, 2004, at 7:45 p.m."	0
"The Council underlines the need for all parties to respect and maintain the security and civil character of refugee and internally displaced persons camps."	0
"To be held on Monday, January 27, 2003, at 10:30 a.m."	0
"The Government of the Republic of Macedonia, at its meeting on April 19, 2011, adopted a decision to implement the restrictions stated in the resolution mentioned above."	0
"My delegation is concerned that the security situation in Iraq continues to deteriorate."	0
"It has already set important precedents calling for the establishment of fact-finding mechanisms to investigate alleged violations, provide reparations to victims, and promote individual criminal responsibility."	1
"The Security Council takes note of the inauguration of the international center of excellence on countering violent extremism, which took place in Abu Dhabi on 14 December 2012."	1
"Application of resolutions 1540 (2004) and 1673 (2006)"	0
"In that context, we continue to be concerned about the most vulnerable citizens of Timor-Leste: the poor and the displaced."	0
"6. Also requests the Committee established pursuant to resolution 1267 (1999) to submit periodic reports to the Security Council on the implementation of the present resolution;"	0
"General People's Committee of Communications and Transportation"	0
"Similarly, anti-terrorism laws have been enacted, providing judicial and prosecutorial authorities with the necessary legal powers to bring terrorists to justice."	1
"58. The situation in the Indo-Pakistani subcontinent (December 4, 1971; December 27, 1971)."	0
"Although the Commission received information from a source that someone close to and trusted by Mr. Hariri had tampered with the jamming devices before the explosion, the Commission has not been able to corroborate this information."	1
"President Abbas and Prime Minister Seniora further considered the possibility of establishing a Lebanese-Palestinian dialogue on the social and economic well-being, security and representation of Palestinian refugees in Lebanon."	0
"Which will be held on Wednesday, January 26, 2011, at 10:00 a.m."	0
"The Minister of the Interior told Commander da Cruz to deliver 10 of the rifles, 6,000 cartridges and 10 magazines to Rai Los in LiquiÃ§a."	1
"The Uniform Law against the Financing of Terrorism of the West African Economic and Monetary Union provides for the administrative freezing of terrorist assets."	1
"In collaboration with the University of Seychelles and experts from the Centre, UNODC developed a curriculum for police, coast guard and other law enforcement officials involved in the investigation of piracy and maritime crime."	1
"The Security Council highlights the important role of regional and subregional organizations in combating the illicit trade in small arms and light weapons, and the need for the mandates of peacekeeping operations to take into account, where appropriate, regional instruments that empower States to detect and trace illegal small arms and light weapons."	0
"Given that there have not been many entries on the List relating to individuals or entities providing military equipment or training to such groups, the Team recommends that the Committee take further steps to clarify the scope of application of the arms embargo."	0
"The Council encourages the establishment or strengthening, as appropriate, of subregional or regional mechanisms for cooperation, coordination and information exchange, in particular cross-border customs cooperation and information exchange networks, with a view to preventing, combating and eradicating trade illicit use of small arms and light weapons across borders."	0
"4. Permit from the Ministry of Light Industries and Commerce."	0
"Write-off of cash and account losses"	0
"In this regard, the Transitional Government needs to demonstrate its interest in cooperating closely with its international partners to establish a mechanism that ensures sound, transparent and responsible management of public funds and effectively combats corruption."	1
"The first programmatic component is the establishment of units to combat transnational crime in CÃ´te d'Ivoire, Guinea, Guinea-Bissau, Liberia and Sierra Leone."	1
"Particularly during the post-election period, unrealistic expectations could lead to instability."	0
"Four States have adopted appropriate legal provisions to suppress terrorist recruitment."	1
"Coordination requires, first, a clear vision and, second, institutional arrangements."	0
"12) Convention on the marking of plastic explosives for detection purposes, signed in Montreal on March 1, 1991; It was ratified on December 18, 1991 and entered into force on June 21, 1998."	1
":: Starvation, as a method of war, of civilians, depriving them of goods essential to their survival, including the intentional obstruction of relief supplies in accordance with the provisions of international humanitarian law."	0
"The Under-Secretary-General further reported that acts of violence and human rights abuses continued on a daily basis, including the use of torture, murder, rape and enslavement by ISIL, punishments and attacks against civil services by opposition groups, including groups designated as terrorists, and air strikes, including barrel bombs, carried out by the Government against civilian areas, internally displaced persons camps and civilian facilities."	0
"Only after traveling about 20 kilometers to the south did they get the official entry stamp into the country."	0
"Some States have not yet taken into account human rights considerations relating to terrorism cases (for example, exceptional periods of police detention and limits on access to legal aid)."	0
"The police, deployed at the edge of the camp, showed no interest in confronting the Janjaweed."	1
"Without creating any new international obligations, this non-binding instrument reiterates the obligation of States to ensure respect for and implement international humanitarian law and international human rights standards under national law, focusing on the role of States in providing adequate, effective and prompt remedies, including compensation, to victims."	1
"Furthermore, it is clear that all this constitutes an attempt by Eritrea to bend the Security Council to its whim by taking the staff of the United Nations Mission in Ethiopia and Eritrea hostage."	0
"This will help facilitate arrangements regarding the arrest, prosecution and post-conviction period of high-risk offenders in accordance with international human rights standards."	0
"This is an international obligation that States must comply with to help ensure justice is done for the victims of these painful events."	0
"I have requested that BINUCA continue its activities to support the Government in its efforts to obtain bilateral assistance to build the capacity of its national forces."	1
"Delisting of names 25. Directs the Committee to promptly delist, on a case-by-case basis, the names of individuals and entities that no longer meet the listing criteria set out in paragraph 2, and requests the Committee to give due consideration to takes into account requests for exclusion of persons who comply with reconciliation measures, in accordance with the CommuniquÃ© of the Kabul Conference of July 20, 2010 on dialogue with all those who renounce violence, do not have links with international terrorist organizations, including Al-Qaida, respect the Constitution, including its provisions on human rights, in particular the rights of women, and are ready to collaborate in the construction of a peaceful Afghanistan, and in accordance with what is further formulated in the principles and results of the Conclusions of the Bonn Conference of December 5, 2011, which are supported by the Government of Afghanistan and the international community;"	1
"Resources that can be looted, particularly those that militant leaders can access directly (rather than through their chain of command), can prolong conflicts by creating discipline problems that make it difficult for leaders to impose a solution on their followers."	0
"The agency shares information with its counterparts in other countries, both directly and through law enforcement agencies."	1
"The Internet has proven to be a valuable tool for terrorists, given the considerable technical and legal challenges involved in controlling and regulating its content."	1
"The legislation of most States establishes customer diligence obligations and reporting mechanisms that require financial institutions and certain professionals to identify their customers and report any suspicious activity to the authorities."	1
"The Team believes that, depending on the circumstances, there are different measures that may be effective in preventing the abuse of the assets of a suspected (but unlisted) entity, including: removing suspected wrongdoers or those listed consolidated list of control or influence posts; prohibit the transfer, sale or alienation of their rights and prohibit entities from making any transfer of assets to those persons, whether in their capacity as owners or directors."	1
"The Council looks forward to considering the Secretary-General's annual report on the implementation of its resolution 1820 (2008)."	0
"To improve logistical support to contingents and police forces deployed in the most difficult environments in Mali, the Mission has assigned civilian support personnel to facilitate logistical planning and reporting for some military units deployed in Kidal and Tessalit."	1
"Reaffirming that acts of terrorism must not be allowed to disrupt Iraq's political and economic transition, and further reaffirming the obligations of Member States under resolution 1618 (2005) of 4 August 2005 and other relevant international resolutions and conventions with regard to, inter alia, terrorist activities in and from Iraq or against its citizens,"	0
"On 10 November 2011, the Commander of the Joint Allied Forces Command in Naples tasked the KFOR Commander with continuing operations to establish and maintain access to checkpoints, and selectively lift roadblocks, in major areas. supply routes leading to border control posts 1 and DOG 31, in order to create the necessary conditions to restore unrestricted freedom of movement and a safe and secure environment for all, in accordance with resolution 1244 (1999) Security Council."	1
"Both SINPI and SINTI are online and accessible from anywhere in the national territory."	0
"The Israeli people, who had hoped that Israel's withdrawal from Lebanon -- which was certified by this Council six years ago -- would result in security along their northern border, find themselves subjected to constant rocket attacks by Hezbollah, that penetrate more into Israeli territory every day."	0
"Recent reports of some ex-combatants dying of disease and starvation in the Kotakoli camp underscore the need for the Government to provide the necessary resources to change the deplorable conditions in the targeted disarmament, demobilization and reintegration sites, among other things, providing the promised contribution of 10 million dollars for the new plan."	1
"The United States must desist from this deliberate disregard, a practice it has maintained for almost seven years and which has led to the deterioration of the situation in the region."	0
"Contingent and contingent-owned equipment costs have been reimbursed for the periods ending 31 October 2012 and 30 September 2012, respectively, in accordance with the quarterly payment schedule."	0
"The state police and security agencies of Bosnia and Herzegovina have sought to implement measures to improve cooperation, and the working group on the Tribunal established jointly by the Cabinet of the Prime Minister and the Special Representative of the European Union and the Office of the High Representative continues to monitor the implementation of these measures. On August 8, Milan Lukic was arrested in Argentina, on August 25, Dragan Zelenovic was captured in Western Siberia, and on September 13, Sredoje Lukic surrendered in Banja Luka to the authorities of the Republika Srpska."	0
"The Council emphasizes the desirability of continuing to build effective collaborative partnerships between the United Nations and relevant regional and subregional organizations, in order to enable prompt response to emerging disputes and crises and to strengthen the role of the United Nations in preventing conflicts. the conflicts."	1
"The UNOCI police component is responsible for providing support, supervision and advice to the CÃ´te d'Ivoire national police and the mixed police units deployed in the former zone of confidence and the 600 Forces Nouvelles police auxiliaries who were trained by UNOCI in 2006 and deployed in the northern part of the country."	1
"The porosity of borders continues to make effective control difficult, and progress must be made in developing regional approaches and best practices (for example, in community policing) to remedy these problems."	1
"It is significant that some States have only recently begun to review or terminate their states of emergency."	1
"In mid-March, Brigadier General Ruak announced the discharge of 594 soldiers with retroactive effect from 1 March."	1
"I strongly condemn the use of toxic chemicals of all kinds by any of the parties in the Syrian conflict."	0
"The President: In accordance with normal practice, I wish to remind all speakers to limit their statements to a maximum of five minutes in order to enable the Council to carry out its work in an efficient manner."	0
"Integrated plans are being implemented to support the withdrawal of the military and civilian components of the Mission between 15 October and 31 December 2010."	1
":: Prevention and suppression of the recruitment of child soldiers in violation of international law."	1
"Taking into account the sensitive issues that need to be addressed, as indicated in the Government's work programme, preparations for these elections should begin shortly."	0
"There have also been reports of the presence of Al-Qaida cells in Zambia, and both South Africa and Zambia have extradited suspected terrorists in the past."	1
"Intended beneficiaries by area and by country"	0
"Several regional cooperation mechanisms have been established to enhance the capacity of States to prevent incitement and deny safe haven in the Latin American and Caribbean region."	1
"Calling on States to ensure, in accordance with international law, in particular international human rights law and international refugee law, that refugee status is not misused by those who commit, organize or facilitate acts of terrorism, particularly by foreign terrorist fighters,"	0
"Four States have established policies and measures to suppress trafficking in arms and explosives, two have adopted some measures to that end, and another has no capacity in this area."	1
"3. Decides further that all States should adopt and enforce effective measures to establish national controls to prevent the proliferation of nuclear, chemical or biological weapons and their delivery systems, including by establishing adequate controls on related materials, and, with To this end, they must:"	1
"Training of other staff to raise awareness of human rights and the rights of women and children."	1
"If these issues are resolved in favor of the Prosecutor's Office, the accused persons will be found guilty of the charges against them."	0
