"es"	"MatConf"
"También ha llegado el momento de que Belgrado abandone su posición negativa respecto de la participación de los serbios de Kosovo."	0
"El artículo 15.B \"mesa vacía\" (bare table) significa una mesa plana, o superficie, sin accesorios."	0
"El Comité, con la asistencia de su Dirección Ejecutiva, organizó una serie de actividades especiales con los Estados Miembros y las organizaciones internacionales y regionales sobre cuestiones de interés común y de actualidad, entre ellas la lucha contra el terrorismo mediante la utilización de las nuevas tecnologías de la información y las comunicaciones."	0
"a) Preste apoyo material, logístico u organizativo o cualquier tipo de recurso; o"	0
"S/RES/1973 (2011), párr. 13"	0
"Algunos informes indican además que extranjeros del Chad, la Jamahiriya Árabe Libia y otros Estados respondieron al llamado y que el Gobierno se mostró más que dispuesto a reclutarlos."	1
"La comunidad internacional los tiene sometidos a una presión real y cualquier intento de comunicación bidireccional pone en peligro su seguridad."	0
"Es imposible reconciliar que se lleven armas fuera de las fuerzas armadas oficiales con la participación en el poder y en el gobierno en una democracia."	1
"No obstante, los Estados aún deben reforzar sus programas y su cooperación y aplicar las mejores prácticas y las normas de control de armas internacionales más recientes."	0
"A mediados de noviembre se produjo una intensificación de los enfrentamientos armados entre las fuerzas de seguridad serbias y el autoproclamado Ejército de Liberación de Presevo, Medvedja y Bujanovac (UCPMB) en la zona de seguridad terrestre."	1
"Su intención y su capacidad de planificar ataques quedaron patentes en Argelia y el Níger en 2013."	1
"\"El Consejo de Seguridad, destacando que la paz y la seguridad en el mundo son indivisibles, y teniendo en cuenta la interrelación e independencia del mundo, reafirma que el terrorismo, en todas sus formas y manifestaciones, constituye una de las amenazas más graves a la paz y la seguridad internacionales y que todos los actos de terrorismo son criminales e injustificables, independientemente de sus motivaciones, dondequiera que se cometan y quienquiera que los cometa."	0
"La oposición concluyó la concentración con un llamamiento a la desobediencia civil para impedir la aprobación del proyecto de ley. El 30 de octubre, los manifestantes rompieron el cordón policial y saquearon el edificio de la Asamblea Nacional."	1
"Reconociendo que la cooperación internacional y las medidas que adopten los Estados Miembros para prevenir y combatir el terrorismo deben ajustarse plenamente a la Carta de las Naciones Unidas,"	0
"La capacidad de AQAP para lanzar ataques internacionales subsiste, pero por ahora el impacto de sus actividades se limita principalmente al Yemen."	1
"Además, el Comité establecerá un calendario de reuniones que le permita alcanzar sus objetivos con rapidez y eficacia."	0
"La OACI y la IATA han acordado resaltar la labor del Comité 1267 y sensibilizar a sus miembros con respecto a la Lista Consolidada. F. INTERPOL"	0
"Además de los civiles heridos cerca de la terminal de Taci Tolu durante la tarde del 28 de abril, otros dos sufrieron heridas de bala durante la noche."	1
"Muchas de ellas contaron historias parecidas según las cuales las Fuerzas de Seguridad Interna les habían detenido, maniatado, vendado los ojos y desnudado, manteniéndolos presos durante algún tiempo mientras se les interrogaba sobre el Sr. Abu Adass y sus relaciones con grupos islámicos. La mayoría de esas personas compartían la opinión de sus interrogadores de que el Sr. Abu Adass era una persona solitaria e introvertida que no tenía la inteligencia suficiente para cometer un crimen semejante."	1
"A mediados de 1975 la relación entre esos dos partidos se había deteriorado. El 11 de agosto de 1975 la UDT realizó un ataque armado preventivo contra el FRETILIN. El contraataque se llevó a cabo el 20 de agosto de 1975, fecha en que se conmemora la fundación de las Fuerzas Armadas de Liberación Nacional de Timor Oriental (FALINTIL)."	1
":: El 27 de noviembre de 2014, unos aviones de combate del régimen atacaron la escuela Dar-es-Salam en la ciudad de Ar-Raqqa y destruyeron parcialmente uno de sus edificios."	1
"Otro problema era el hecho de que el Gobierno al parecer no poseía recursos militares suficientes, pues muchas de sus fuerzas aún estaban destacadas en el sur, y las que se hallaban presentes en Darfur estaban ubicadas principalmente en los principales centros urbanos."	1
"La Dirección Ejecutiva, conjuntamente con los donantes y otras organizaciones asociadas pertinentes, intensificará sus enfoques regionales y subregionales para llevar adelante iniciativas ya puestas en marcha o planificadas en los ámbitos de la prevención de la utilización indebida del sector sin fines de lucro para financiar el terrorismo, la circulación ilícita de efectivo y otros instrumentos negociables al portador a través de las fronteras, la mejora de la capacidad de los agentes de policía y los fiscales, el control eficaz de las fronteras y la gestión y promoción de la cooperación entre las entidades subregionales pertinentes."	0
":: Donación de equipos por valor de 40 mil euros"	0
"De las 203 personas asociadas con Al-Qaida incluidas en la lista consolidada a fines de enero de 2006, por lo menos 111 (el 55%) han sido detenidas, condenadas o acusadas por haber cometido delitos penales, la mayoría delitos graves o violentos que comprenden desde el asesinato hasta la participación en actos terroristas, como los ataques con bombas contra embajadas en 1998 en el África oriental, los ataques del 11 de septiembre de 2001 en los Estados Unidos y los ataques con bombas en Bali en 2002."	1
"En sus sesiones informativas al Consejo de diciembre de 2005 y junio de 2006, el Secretario General Adjunto Gambari describió las graves condiciones humanitarias y de derechos humanos reinantes en Birmania, incluida la detención de más de 1.100 prisioneros políticos, así como la salida de Birmania de refugiados, drogas, el VIH/SIDA y otras enfermedades."	1
"Los interlocutores del Gobierno reafirmaron que la neutralización de los grupos armados continuaba teniendo un alto grado de prioridad y reiteraron que las operaciones contra las FDA era máxima prioridad. Reconociendo el apoyo proporcionado por la MONUSCO en operaciones organizadas contra los grupos armados, el Gobierno subrayó la necesidad de que se organizaran más operaciones de combate conjuntas."	1
"El Sr. Šimonović consideraba que la rendición de cuentas era fundamental para la reconciliación y que también debían realizarse esfuerzos para enjuiciar a los miembros de los grupos armados que hubieran cometido violaciones graves de los derechos humanos."	1
"Desde el punto de vista del derecho penal internacional, esas violaciones del derecho internacional humanitario constituyen sin duda crímenes de guerra de gran escala."	1
"Estos contingentes tienen pocas armas, escasa movilidad terrestre y ninguna capacidad aérea, y reciben un mínimo apoyo logístico y financiero."	1
"Recalcamos las trágicas consecuencias que esos mensajes tuvieron recientemente en otros lugares del continente."	0
"Hasta la fecha, no se ha recibido respuesta."	0
"El 30 de agosto, el Consejo emitió un comunicado de prensa sobre la piratería y el robo a mano armada en aguas del Golfo de Guinea."	1
"Actuando en virtud del Artículo 41 del Capítulo VII de la Carta de las Naciones Unidas,"	0
"Primero, con el Banco Mundial, un taller para parlamentarios en el Pakistán sobre la importancia de las leyes para combatir la financiación del terrorismo."	0
"Sin embargo, las tensiones entre comunidades siguen siendo elevadas en algunas regiones, y se han producido varios ataques."	1
"Los rebeldes, que vestían diversos uniformes militares, atacaron la oficina local del Servicio de Seguridad Nacional e Inteligencia, prendiéndole fuego, y dispararon contra la oficina de Sudan Telecommunications."	1
"A nivel nacional persisten varios problemas, como transmitieron vívidamente los numerosos interesados en la Conferencia."	0
"Las personas y las células asociadas a Al-Qaida y sus entidades afiliadas siguen encontrando nuevos objetivos, tácticas y tecnologías."	0
"No obstante, también incumbe a los Estados Miembros la responsabilidad de seguir actuando, proponiendo nombres, señalando problemas o examinando nuevas mejoras de los procedimientos."	0
"El 7 de abril de 2014, dos expertos de la Oficina de las Naciones Unidas contra la Droga y el Delito (UNODC), el Sr. Clément Gorrissen y el Sr. Simon Davis, perdieron la vida en un atroz ataque en el aeropuerto de Gaalkacyo en Puntlandia (Somalia), cuando se encontraban en una misión relacionada con el rastreo de las corrientes financieras ilícitas derivadas de la piratería."	1
"Pido nuevamente que todos los marinos inocentes mantenidos como rehenes en Somalia sean puestos en libertad de manera inmediata e incondicional a fin de que puedan reunirse con sus familias."	0
"Salvo por algunos enfrentamientos esporádicos entre los manifestantes y la policía, no se informó de ningún incidente violento."	1
"Teniendo en cuenta el regreso de los grupos terroristas, consideraba que la MINUSMA debía disponer de todo el equipo necesario para cumplir su mandato y proteger a la población del norte."	0
"Los Estados de Asia Central se enfrentan a una grave amenaza terrorista transnacional que requiere soluciones concertadas y coordinadas a nivel regional."	1
"Teniendo en cuenta los límites de las funciones que se le encomendaron, la Comisión no ha podido determinar con certeza el número de víctimas civiles en Darfur."	1
"Asimismo, la UNMIS está estableciendo nuevas bases de apoyo al referendo con el fin de prestar apoyo a nivel de los condados en el Sudán Meridional."	0
"Las operaciones militares y policiales, así como las medidas específicas contra los jefes de las bandas, han aumentado en los distritos afectados por la violencia de bandas."	1
"En el párrafo 67 de su opinión el Abogado General expone cinco razones por las que el control minucioso no es aplicable en este contexto: a) el carácter preventivo de las sanciones contra Al-Qaida; b) el contexto internacional del acto impugnado; c) la necesidad de alcanzar un equilibrio entre las exigencias de la lucha contra el terrorismo y las de la protección de los derechos fundamentales; d) el carácter político de las evaluaciones del Comité 1267; y e) las mejoras de los procedimientos de supresión de la Lista por el Comité 1267 en los últimos años, particularmente desde la decisión de 2008 del Tribunal de Justicia de la Unión Europea en la causa Kadi."	0
":: El 15 de noviembre de 2014, unos helicópteros del régimen lanzaron una bomba de barril contra la mezquita Omar ibn al-Khattab en Alepo, y causaron daños importantes."	1
"En la resolución 1820 (2008), el Consejo alienta al Secretario General a que, en consulta con las mujeres y las organizaciones dirigidas por mujeres, elabore mecanismos eficaces para proteger de la violencia, en particular de la violencia sexual y otras formas de violencia por razón de género, a las mujeres y las niñas en los campamentos de refugiados y desplazados internos y sus alrededores."	0
"S/RES/2100 (2013), párr. 9 del preámbulo"	0
"Los recursos naturales de la región, la delincuencia transfronteriza y la disponibilidad de armas pequeñas debido a conflictos armados pasados hacen que la subregión quede potencialmente expuesta a blanqueadores de dinero, delincuentes internacionales, traficantes de drogas y grupos terroristas."	1
":: Reconstrucción de los hechos y paradero del Sr. Hariri antes de la explosión"	1
"Los procedimientos de obtención de muestras y examen en el BOMVIC estuvieron en funcionamiento durante todo el período de la inspección."	0
"Durante el período sobre el que se informa, la FPNUL volvió en ocasiones a ver obstaculizada su libertad de circulación en su zona de operaciones, lo que puso en peligro, en algunos casos, la seguridad del personal de mantenimiento de la paz de las Naciones Unidas."	1
"Aunque todavía no he recibido respuestas oficiales de los 36 Estados Miembros restantes, considero improbable que se materialice el número suficiente de promesas de tropas para poder desplegar una fuerza multinacional."	1
"Entre los caminos cerrados estaba la indispensable vía comercial Abu Surug-Geneina y el camino a Um Kher."	0
"a) El ejército maoísta reclutó a un número considerable de niños justo antes de la firma del Acuerdo General de Paz."	1
"La Secretaría en breve presentará la Lista consolidada en esos formatos."	0
"En relación con el despliegue de la UNMISS, señaló que la fuerza estaba haciendo todo lo posible para ampliar su presencia fuera de las bases, en tanto se completaba el despliegue adicional."	1
"S/AC.29/2004/(03)/8"	0
"La Comisión entró en funciones cuatro meses después de que se cometiera el delito, lo que significa que los culpables y sus cómplices tuvieron todo el tiempo necesario para destruir las pruebas y/o para ponerse de acuerdo, había disminuido la posibilidad de hacer comparecer a los posibles testigos, y no se podían subsanar las omisiones anteriores ni la pérdida y destrucción deliberada o accidental de pruebas."	0
"Además, los bares de ensaladas eran frecuentados por numerosos viajeros que pasaban por las carreteras cercanas, y las enfermedades de estas personas probablemente no se incluyeron en los totales registrados."	0
"Alienta en particular a los Estados a reforzar la seguridad física y la gestión de los arsenales, destruir las armas pequeñas y armas ligeras excedentes y obsoletas, marcar todas las armas pequeñas y armas ligeras en el momento de su fabricación y su importación, reforzar el control de las exportaciones y de las fronteras y vigilar las actividades de intermediación."	0
"En una declaración de la presidencia (S/PRST/2004/15) aprobada el 14 de mayo, el Consejo expresó su profunda preocupación por los informes relativos a una incursión en la República Democrática del Congo realizada por elementos del ejército rwandés y los informes sobre la intensificación de las actividades militares de las Fuerzas Democráticas de Liberación de Rwanda en el este de la República Democrática del Congo y a las incursiones efectuadas por esas fuerzas en el territorio de Rwanda."	1
"Habida cuenta de que la financiación multilateral está suspendida, el Gobierno de Côte d'Ivoire depende de la cosecha de cacao para mantener la solvencia y conseguir pagar a sus funcionarios, entre ellos los militares, El cacao es una importante fuente de fondos para las adquisiciones militares no presupuestadas o extrapresupuestarias del Gobierno, y aunque la cantidad de ingresos del cacao haya disminuido, el porcentaje que se toma de la cantidad disponible todavía es elevado,"	1
"Bin Laden necesita ofrecer un contrapeso a la acción de Zarqawi y demostrar que puede seguir actuando en todas partes del mundo montando ataques espectaculares en otros lugares, para poder retomar el proyecto estratégico que había adoptado antes de perder su base en el Afganistán en 2001."	1
"Por esta razón, los rebeldes habían dirigido sus ataques contra las instalaciones del Gobierno y habían evitado a propósito atacar a las tribus árabes."	1
"Teóricamente, toda importación de armas ligeras debe ir provista de una autorización expedida por la CEDEAO en Abuja."	1
"Uno de los soldados agarró al niño y lo arrojó a un lado de la carretera."	1
"Observando que la situación en la República Democrática del Congo sigue constituyendo una amenaza para la paz y la seguridad internacionales en la región,"	1
"La Comisión considera que la situación no ha variado."	0
"Informe del Secretario General sobre Darfur (S/2006/591 y Add.1)."	0
"Las partes en el proceso de paz todavía no han tomado disposiciones para la liberación ni han ofrecido programas de reintegración con los que los niños de esas fuerzas habrían podido acogerse a medidas de recuperación y reinserción."	0
"La sequía y la desertificación causaron sus propios efectos en los decenios de 1970 y 1980, y la lucha por los escasos recursos se intensificó."	1
"No obstante, dispone de información suficiente para afirmar que se cometieron actos de violencia contra la vida y la integridad de los detenidos en los incidentes que investigó."	1
"El conflicto pareció llegar a un clímax en una reunión celebrada en Damasco entre el Sr. Hariri y el Presidente Al-Assad el 26 de agosto de 2004."	1
"Desde que inició su misión en octubre de 2006, el Equipo de Tareas Marítimo ha interceptado y reclamado información a más de 21.980 buques en su zona de operaciones."	0
"S/AC.29/2004/(03)/6"	0
"Hay que tener presentes otras circunstancias relativas a la fase de planificación del crimen, como las medidas de vigilancia del Sr. Hariri emprendidas por las Fuerzas de Seguridad Interna y la intervención de los teléfonos del Sr. Hariri por el Servicio de Inteligencia Militar (véase la sección titulada \"Intervención de los teléfonos del Sr. Hariri\")."	1
"El Comité reconoce que apenas ha dado sus primeros pasos para el logro de este objetivo, sobre todo por el retraso en la provisión de puestos de la Dirección Ejecutiva."	0
"Algunos dhows particularmente grandes pertenecen a extranjeros y no están matriculados en Somalia."	0
"En un número limitado de casos, es posible que el pago de prestaciones haya inducido a los comandantes a volver a reclutar a niños que ya habían liberado."	1
"Una vez examinados y analizados todos los hechos, llegamos a la conclusión de que con toda probabilidad se trató de una explosión superficial."	1
"La crítica de la labor del Consejo y el Comité en esta esfera corre el riesgo de extenderse a todo el régimen de sanciones contra Al-Qaida y los talibanes y no debería menoscabar el apoyo universal de que ha gozado hasta la fecha."	1
"Además, los defensores de los derechos humanos denunciaron casos de robos, actos de violencia y saqueos perpetrados por las fuerzas del orden y la población civil contra los habitantes de esos barrios."	1
"También hubo 18 denuncias de violación tras el ataque a Adwa, en Darfur meridional, a principios de diciembre de 2004."	1
"Sigue habiendo sitios de la clase C dispersos por todo el curso del río."	0
"La estructura y la organización de los servicios de inteligencia de Siria y el Líbano en el Líbano en el momento de la explosión, incluidos los protocolos de transmisión de información, ponen de manifiesto una presencia sumamente extendida en la vida cotidiana del Líbano."	1
"6. Confirma que lo dispuesto en el párrafo 1 a) supra se aplica a los recursos económicos de todo tipo, incluidos, entre otros, los utilizados para prestar servicios de Internet o servicios conexos, utilizados para apoyar a los talibanes que figuran en la presente Lista y otras personas, grupos, empresas y entidades asociados con ellos, así como otras personas, grupos, empresas y entidades asociados con los talibanes que constituyan una amenaza para la paz, la estabilidad y la seguridad del Afganistán y otras personas, grupos, empresas o entidades asociados con ellos;"	1
"Según las circunstancias de cada caso, estas personas pueden ser sospechosas, con arreglo a la doctrina de la asociación ilícita, de haber cometido los crímenes de lesa humanidad de asesinato de civiles y violación, tortura y traslado forzoso de civiles y los crímenes de guerra de dirigir ataques indiscriminados contra la población civil, destruir objetos de carácter civil y de saquear."	1
"Por otra parte, el Gobierno de Transición de la República Democrática del Congo sigue considerando la posibilidad de expedir órdenes internacionales para la detención de los dirigentes de los grupos armados de Ituri."	1
"La Comisión también recibió informaciones fiables sobre el asesinato de otro policía a manos de una turba en la misma zona."	1
"Observando con preocupación el carácter cambiante de la amenaza que representan Al-Qaida, Osama bin Laden y los talibanes, y otras personas, grupos, empresas y entidades asociados con ellos, en particular los modos en que se promueven las ideologías terroristas,"	0
"En total, mediante entrevistas a 116 testigos presenciales y 12 testigos indirectos, el equipo de investigación reunió información sobre ataques contra 51 pueblos o aldeas y 11 casos de violación."	1
"En ese ataque también resultaron muertos 17 agentes de policía, todos ellos de tribus africanas."	1
"No resulta sorprendente, por lo tanto, que muchos Estados Miembros consideren que la Internet es un aspecto clave en la lucha contra la proliferación del terrorismo relacionado con Al-Qaida y la amenaza que éste plantea."	1
"\"El Consejo de Seguridad condena en los términos más enérgicos el atentado terrorista suicida ocurrido en Issers (Argelia) el 19 de agosto de 2008, que ha causado numerosos muertos y heridos en una academia de entrenamiento de la gendarmería. Expresa su profundo pesar y sus condolencias a las víctimas de este atroz acto de terrorismo y a sus familiares, así como al pueblo y al Gobierno de Argelia."	1
"Se fusionarán algunos organismos y se disolverán otros."	0
"El Consejo de Jefes de Estado de la Comunidad de Estados Independientes,"	0
"Tras la reunión que celebró el 8 de septiembre de 2010, el Grupo de Trabajo aprobó sus conclusiones sobre los niños y el conflicto armado en Colombia (véase S/AC.51/2010/3)."	0
":: En abril de 2012, la Asamblea Nacional ratificó la Convención de las Naciones Unidas contra la Delincuencia Organizada Transnacional y sus tres protocolos adicionales"	0
"El 16 de septiembre la MINUSMA y el UNICEF hicieron una inspección de los elementos armados del MAA (Coordinadora) y el MNLA destinados en Ber (región de Tombuktú) e identificaron a cinco menores, de edades comprendidas entre los 15 y los 17 años, así como a dos jóvenes que probablemente habían sido reclutados cuando todavía eran menores."	1
"En muchos casos, hombres y mujeres fueron secuestrados o desaparecieron, muchos veces sin dejar rastro."	1
"El año pasado, al haberse intensificado las operaciones militares contra los grupos armados, la MONUSCO aumentó en un 226% el apoyo logístico prestado a las tropas de las FARDC."	1
"La propaganda, los ataques con cohetes, artefactos explosivos improvisados y, ocasionalmente, ataques suicidas seguirán siendo las principales armas utilizadas por las fuerzas militares opositoras."	1
"El Consejo expresa grave preocupación por situaciones en que fuerzas y grupos armados persisten en cometer violaciones y abusos contra los niños expuestos a los conflictos armados y las situaciones posteriores a conflictos y afectados por ellos, ignorando abiertamente el derecho internacional aplicable y las resoluciones del Consejo sobre esta cuestión."	1
"En la zona de operaciones, el principio de la proporcionalidad sigue siendo una norma en gran medida subjetiva, que se basa en buscar un equilibrio entre la expectativa y previsión de obtener ventajas militares y la pérdida real de vidas de civiles o la destrucción de bienes de carácter civil."	1
"Reunión de expertos en la Convención sobre las Armas Biológicas"	1
"Pero si bien el método de fabricación es relativamente sencillo, el producto es inestable y poco fiable, a diferencia de los explosivos de uso militar."	1
"El Viceministro de Relaciones Exteriores del Afganistán dijo que había sido un año de importantes hitos, pero que los logros habían tenido un costo, y destacó que el terrorismo seguía siendo una grave amenaza."	0
"2. Código de Aduanas de la República de Kazajstán, de 2003, artículo 19, párr. 12"	0
"Sin duda perecieron en el combate soldados de ambas partes y, con toda probabilidad, primero las fuerzas rebeldes y luego las gubernamentales cometieron actos de represalia."	1
"LA QUE SE INDICAN LOS ASUNTOS QUE SE HALLAN SOMETIDOS AL"	0
"Los militares dispararon proyectiles de mortero contra civiles desarmados."	1
"Un Estado observó que se habían ampliado los criterios de incorporación de las organizaciones terroristas en su código penal para incluir a las organizaciones que propugnan el terrorismo."	1
"f) El desmantelamiento y el desarme de todos los grupos armados, incluidas las llamadas fuerzas paralelas, con la debida atención a la posible integración de los miembros de esas fuerzas en las estructuras normales de seguridad del Estado sobre la base de su readiestramiento y la plena observancia por su parte del derecho internacional sobre derechos humanos y el derecho humanitario aplicable;"	0
"También se informó de secuestros de mujeres ocurridos en la zona de El Geneina, en Darfur occidental."	1
"Los actuales intentos del Consejo de Seguridad de culpar a Eritrea son injustificados, tanto legalmente como políticamente."	0
"En sus intervenciones, los Estados Miembros señalaron que el terrorismo era una de las amenazas más graves a la paz y la seguridad internacionales y que para derrotarlo se necesitaba un esfuerzo coordinado y sostenido."	0
"Actuando de conformidad con el Capítulo VII de la Carta de las Naciones Unidas,"	0
"Desde que fueron adquiridas a principios de enero de 2005, hasta el momento de la explosión, esas tarjetas sólo habían servido para establecer comunicaciones entre sí."	1
"La policía dijo que buscaban a \"Enza\" y preguntaron a los hombres si habían participado en la marcha."	1
"Número de reclamaciones cuyo pago se recomienda"	0
"Debe conservar su independencia y objetividad para infundir confianza en el proceso electoral."	0
"Según su declaración, estaba en su oficina cuando fue alertado acerca de la explosión."	1
"El Comité aseguró que en Baram los rebeldes habían dado muerte a algunos soldados y a 13 civiles dentro del hospital del lugar."	1
"En muchos casos, las milicias que atacan pueblos y aldeas \"africanos\" tienden a emplear epítetos despectivos, como \"esclavos\", \"negros\", \"nuba\" o \"zurga\", que darían a entender que ven las víctimas como miembros de un grupo distinto."	1
"En la mayoría de los informes se señala que a partir de principios de 2003 se lanzó una serie de ataques indiscriminados contra civiles de aldeas y comunidades de los tres estados de Darfur."	1
"El Gobierno de la República de Macedonia, en su reunión de 19 de abril de 2011, adoptó una decisión para dar cumplimiento a las restricciones enunciadas en la resolución mencionada supra."	1
"El mantenimiento por Hizbullah de una considerable capacidad militar compleja que se encuentra fuera del control del Gobierno del Líbano genera efectivamente un clima de intimidación y constituye un desafío fundamental para la seguridad de los civiles libaneses y el monopolio del Gobierno del uso legítimo de la fuerza."	1
"Informe del Secretario General sobre Chipre (S/2004/302)."	0
"A pesar de dicha decisión, siguen produciéndose destrucciones."	1
"La Unión Europea apoya igualmente la misión de verificación aérea de la OTAN y celebraría la participación de la Federación de Rusia y otros países miembros de la OTAN."	0
"Situación del Gobierno Federal de Transición y de la oposición: escalada militar"	1
"No obstante, los órganos internacionales de derechos humanos y otras entidades también han planteado la inquietud de que determinadas medidas destinadas a hacer frente a la incitación pueden haber sido excesivas o haberse extralimitado y pueden haber vulnerado los derechos humanos, incluidos los derechos a la libertad de expresión y a la no discriminación. Ello podría ser contraproducente, ya que genera el riesgo de que determinadas comunidades queden excluidas de la labor nacional e internacional contra el terrorismo."	1
"En la mitad de los Estados de la subregión no existe la tipificación como delito del reclutamiento de miembros de grupos terroristas."	0
"Esa situación es evidente en los grupos que luchan en Somalia, el Yemen, la República Árabe Siria y Nigeria."	1
"No hay un cajero que pueda verificar la identidad del cliente frente a frente y los procedimientos indirectos de debida diligencia existentes son susceptibles de abuso a causa del considerable nivel de anonimato y la falta de vigilancia directa de las operaciones."	0
"El fallo en primera instancia restante se emitirá antes de que termine 2012, y se han concluido los procedimientos de apelación respecto de 44 personas."	0
"La industria pesquera comercial está principalmente en manos de intereses extranjeros."	0
"En cuanto al derecho internacional humanitario, el artículo 3 común a los Convenios de Ginebra prohíbe los atentados contra la vida y la integridad corporal, incluidos los tratos crueles y la tortura, la toma de rehenes y los atentados contra la dignidad personal, en particular los tratos humillantes y degradantes."	1
"Los líderes de Al-Qaida, limitados en su acción por las medidas internacionales, tal vez no puedan traducir su apoyo en actos de violencia coordinados bajo su control, pero siguen atrayendo a adeptos, algunos de los cuales están decididos a cometer actos de terrorismo en su nombre, sin necesidad de creer que sus actos forman parte de un programa político más amplio."	1
"Irán - Daños a tierras de pastoreo (párrafos 71 a 78) 78"	0
"El Presidente o Presidenta de la República presidirá los períodos de sesiones."	0
"El 2 de noviembre 16 de las 20 personas arrestadas durante una operación llevada a cabo por las FDSM en Boulkessi (región de Mopti), zona controlada por el HCUA, informaron a la MINUSMA de que habían sido objeto de fuertes palizas durante los interrogatorios."	1
"Que, al supervisar la utilización de las indemnizaciones en actividades para solucionar problemas ambientales, la Comisión tuviera en cuenta los resultados definitivos del estudio de supervisión y evaluación del litoral de la Arabia Saudita contaminado por petróleo, en particular la indemnización de la Comisión por la reclamación No. 5000451."	0
"Después del ataque, toda la población de la zona se dirigió a Kailek."	1
"En julio el Centro impartió un curso sobre técnicas de investigación de la violencia de género y hasta la fecha se ha instruido a un total de 40 agentes (30 mujeres) de la policía nacional."	0
"La mañana del 24 de mayo ocho soldados de las F-FDTL que realizaban una patrulla de observación en las colinas fueron atacados y contenidos por un grupo armado desde una posición más elevada."	1
"102. La Comisión llegó a la conclusión de que el Gobierno, cuando se vio ante el levantamiento protagonizado en Darfur por dos movimientos rebeldes a principios de 2003, hizo un llamamiento a una serie de tribus árabes para que le ayudaran en la lucha."	1
"Esa situación entorpecía los esfuerzos en pro de la paz y la reconciliación."	1
"Según la información reunida, habida cuenta de que ejercían un control efectivo general sobre el personal militar que luchaba para los grupos rebeldes, tenían conocimiento de algunos crímenes cometidos por ese personal militar o, como mínimo, deberían haber sabido lo que ocurría, pero no hicieron nada por poner fin a las atrocidades."	1
"b) Los líderes políticos y militares de los grupos armados extranjeros que operan en la República Democrática del Congo que impidan el desarme y la repatriación o el reasentamiento voluntarios de los combatientes de dichos grupos;"	1
"Dirección: campamento de refugiados de Jabalya,"	0
"El Consejo de Seguridad destaca la urgente necesidad de fortalecer las instituciones militares y de policía en Libia."	0
"1. Congelación de fondos y activos financieros"	0
"Como tal, la ciudad representa un ambiente donde abundan los posibles objetivos de ataques y se han producido varios de ellos contra instalaciones militares y embajadas de países occidentales."	1
"El Consejo de Seguridad reitera también su apoyo al Representante Especial del Secretario General, Sr. Ahmedou OuldAbdallah, por sus esfuerzos para hacer avanzar el proceso político en Somalia."	0
"Un alto funcionario de Gobierno que participó en el reclutamiento informó a la Comisión que se pagaba a los jefes tribales con donaciones y regalos sobre la base de sus actividades de reclutamiento y del número de personas que proporcionaban."	1
"Llegado ese momento, los reclutas se subordinan al mando del ejército regular y por lo general visten el mismo uniforme que la unidad a la que pertenecen."	1
"A fines de agosto, el Cuerpo de Protección de Kosovo estaba integrado por 3.029 miembros activos, 157 de los cuales pertenecían a minorías."	1
"Según informes de testigos, en enero de 2004 los rebeldes atacaron y saquearon una comisaría de policía y oficinas estatales de Yassin, en Darfur meridional."	1
"En relación con las milicias antes mencionadas se plantea una cuestión jurídica importante: ¿sobre quién, además de los autores materiales, recae la responsabilidad penal de los delitos presuntamente cometidos por los Janjaweed?"	1
"Se han recibido informes de que las mujeres y niñas siguen siendo víctimas de violencia sexual en los ataques a sus aldeas, por ejemplo, durante el reciente ataque a Hamada, el 13 de enero de 2005, en el que se violó a varias mujeres."	1
":: 26 de abril de 2005: las últimas tropas sirias abandonan el Líbano, poniendo fin a una presencia militar de 29 años."	0
"Al final del período que se examina, la Policía de la UNMIK constaba de aproximadamente 4.400 oficiales de 53 países, que representaban más del 90% de la dotación total autorizada."	1
"La MINUSMA considera que el tratamiento recibido por los detenidos durante el arresto y los interrogatorios puede representar tortura u otras penas o tratos crueles, inhumanos y degradantes."	1
"Estos grupos armados están involucrados en actividades delictivas, en particular en la explotación ilícita de recursos naturales, el tráfico de armas y municiones, el contrabando y el cobro ilegal de impuestos."	1
"En Jelisić, la Sala de Apelaciones, observó que \"en cuanto a la prueba de la intención concreta, es posible inferirla, a falta de pruebas directas concretas, de diversos hechos y circunstancias, como el contexto general, la perpetración de otros actos culposos sistemáticamente dirigidos contra el mismo grupo, la magnitud de las atrocidades cometidas, la victimización sistemática de determinadas personas debido a su pertenencia a un determinado grupo, o la reiteración de actos destructivos y discriminatorios\"."	1
"Directrices de cumplimiento sobre lucha contra el blanqueo de dinero y la financiación del terrorismo"	1
"Según los testigos, los aldeanos huyeron en dirección norte hacia una zona boscosa ubicada a unos 5 kilómetros de la aldea."	1
"Seis niños murieron y 44 sufrieron heridas como consecuencia del estallido de artefactos explosivos improvisados que quedaron del conflicto."	1
"El Estatuto del Mecanismo, que figura en el anexo I de la resolución 1966 (2010), señala que las sedes de las subdivisiones del Mecanismo son La Haya y Arusha."	0
"- Identificar a las personas que porten documentos y visados falsos o que traten de ingresar en el país con una identidad falsa;"	0
"Tareas Protección del personal civil de la Unión Africana y del complejo común de las Naciones Unidas dentro del Aeropuerto Internacional de Mogadiscio"	0
"Les deseamos lo mejor, como lo hemos venido haciendo desde hace más de 11 años."	0
"En caso de repetición, la institución de crédito puede perder su autorización para operar."	0
